name	type	start_time	duration	mosi	miso
SPI	result	1.4817504	0.00000496	0x00	0x00
SPI	result	1.48175568	0.00000512	0x00	0x00
SPI	result	1.48176096	0.00000512	0x3F	0x00
SPI	result	1.4817664	0.00000496	0xC6	0x00
SPI	result	1.48268144	0.00000496	0x08	0x08
SPI	result	1.48268672	0.00000496	0x10	0x00
SPI	result	1.482692	0.00000512	0x80	0xBF
SPI	result	1.48269728	0.00000512	0x22	0xD8
SPI	result	1.48323632	0.00000512	0x00	0x00
SPI	result	1.4832416	0.00000512	0x00	0x00
SPI	result	1.48324704	0.00000496	0x00	0x3F
SPI	result	1.48325232	0.00000512	0x00	0xC6
SPI	result	1.48378272	0.00000496	0x08	0x08
SPI	result	1.483788	0.00000512	0x00	0x00
SPI	result	1.48379328	0.00000512	0xBF	0x80
SPI	result	1.48379856	0.00000512	0xD8	0x12
SPI	result	1.48434	0.00000512	0xB8	0x00
SPI	result	1.48434528	0.00000512	0x01	0x00
SPI	result	1.48435056	0.00000512	0x06	0x00
SPI	result	1.484356	0.00000512	0x26	0x00
SPI	result	1.48510528	0.00000512	0x09	0x08
SPI	result	1.48511056	0.00000512	0x10	0x00
SPI	result	1.485116	0.00000496	0x80	0x86
SPI	result	1.48512128	0.00000512	0x2A	0x2A
SPI	result	1.48565072	0.00000496	0x00	0xB8
SPI	result	1.485656	0.00000496	0x00	0x01
SPI	result	1.48566128	0.00000512	0x05	0x06
SPI	result	1.48566656	0.00000512	0x14	0x26
SPI	result	1.48650096	0.00000496	0x0A	0x09
SPI	result	1.48650624	0.00000512	0x00	0x00
SPI	result	1.48651152	0.00000512	0x86	0x85
SPI	result	1.48651696	0.00000496	0x3A	0x2E
SPI	result	1.48708128	0.00000496	0x00	0x00
SPI	result	1.48708656	0.00000512	0x00	0x00
SPI	result	1.48709184	0.00000512	0x00	0x05
SPI	result	1.48709728	0.00000496	0x00	0x14
SPI	result	1.48763024	0.00000512	0x08	0x0A
SPI	result	1.48763552	0.00000512	0x00	0x00
SPI	result	1.48764096	0.00000496	0x85	0x80
SPI	result	1.48764624	0.00000512	0x26	0x22
