name	type	start_time	duration	mosi	miso
SPI	result	0.01432752	0.00000496	0x00	0x00
SPI	result	0.0143328	0.00000496	0x00	0x00
SPI	result	0.01433808	0.00000512	0x08	0x00
SPI	result	0.01434336	0.00000512	0x20	0x00
SPI	result	0.01478816	0.00000496	0x0F	0x08
SPI	result	0.01479344	0.00000496	0x10	0x00
SPI	result	0.01479872	0.00000512	0x80	0x88
SPI	result	0.014804	0.00000512	0x1A	0x32
SPI	result	0.01506112	0.00000496	0x00	0x00
SPI	result	0.0150664	0.00000512	0x00	0x40
SPI	result	0.01507168	0.00000512	0x09	0x08
SPI	result	0.01507712	0.00000496	0xA6	0x22
SPI	result	0.0155008	0.00000496	0x08	0x0F
SPI	result	0.01550608	0.00000512	0x00	0x00
SPI	result	0.01551136	0.00000512	0x88	0x89
SPI	result	0.01551664	0.00000512	0x32	0xB0
SPI	result	0.01576368	0.00000512	0x00	0x00
SPI	result	0.01576912	0.00000496	0x00	0x1A
SPI	result	0.0157744	0.00000512	0x00	0x09
SPI	result	0.01577968	0.00000512	0x00	0x80
SPI	result	0.01602304	0.00000512	0x08	0x08
SPI	result	0.01602832	0.00000512	0x00	0x00
SPI	result	0.01603376	0.00000496	0x89	0x80
SPI	result	0.01603904	0.00000512	0xB8	0x12
SPI	result	0.05429952	0.00000496	0x00	0x00
SPI	result	0.0543048	0.00000496	0x00	0x00
SPI	result	0.05431008	0.00000512	0x08	0x00
SPI	result	0.05431536	0.00000512	0x20	0x00
SPI	result	0.05476208	0.00000512	0x09	0x08
SPI	result	0.05476736	0.00000512	0x10	0x00
SPI	result	0.0547728	0.00000496	0x80	0x88
SPI	result	0.05477808	0.00000512	0x2A	0x32
SPI	result	0.05503104	0.00000512	0x00	0x00
SPI	result	0.05503648	0.00000496	0x00	0x40
SPI	result	0.05504176	0.00000512	0x00	0x08
SPI	result	0.05504704	0.00000512	0x00	0x22
SPI	result	0.05529408	0.00000512	0x08	0x09
SPI	result	0.05529936	0.00000512	0x00	0x00
SPI	result	0.0553048	0.00000496	0x88	0x80
SPI	result	0.05531008	0.00000512	0x32	0x1A
SPI	result	0.06087488	0.00000512	0x00	0x00
SPI	result	0.06088032	0.00000496	0x04	0x00
SPI	result	0.0608856	0.00000512	0x2A	0x00
SPI	result	0.06089088	0.00000512	0x72	0x00
SPI	result	0.0613416	0.00000512	0x0A	0x08
SPI	result	0.06134688	0.00000512	0x10	0x10
SPI	result	0.06135232	0.00000496	0x80	0xAA
SPI	result	0.0613576	0.00000512	0x32	0x50
SPI	result	0.0616136	0.00000496	0x0A	0x08
SPI	result	0.06161888	0.00000512	0x10	0x10
SPI	result	0.06162416	0.00000512	0x80	0xAA
SPI	result	0.0616296	0.00000496	0x32	0x50
SPI	result	0.06188192	0.00000512	0x0A	0x08
SPI	result	0.0618872	0.00000512	0x10	0x00
SPI	result	0.06189264	0.00000496	0x80	0xAA
SPI	result	0.06189792	0.00000512	0x32	0x40
SPI	result	0.06215056	0.00000512	0x00	0x00
SPI	result	0.06215584	0.00000512	0x00	0x04
SPI	result	0.06216128	0.00000496	0x3F	0x2A
SPI	result	0.06216656	0.00000512	0xC6	0x72
SPI	result	0.06259824	0.00000496	0x0B	0x0A
SPI	result	0.06260352	0.00000512	0x00	0x00
SPI	result	0.0626088	0.00000512	0xAA	0xBF
SPI	result	0.06261424	0.00000496	0x58	0xE8
SPI	result	0.06286992	0.00000496	0x00	0x00
SPI	result	0.0628752	0.00000512	0x00	0x00
SPI	result	0.06288048	0.00000512	0x00	0x3F
SPI	result	0.06288592	0.00000496	0x00	0xC6
SPI	result	0.06313728	0.00000496	0x08	0x0B
SPI	result	0.06314256	0.00000496	0x00	0x00
SPI	result	0.06314784	0.00000512	0xBF	0x80
SPI	result	0.06315312	0.00000512	0xD8	0x2A
SPI	result	0.09433216	0.00000496	0x00	0x00
SPI	result	0.09433744	0.00000512	0x00	0x00
SPI	result	0.09434272	0.00000512	0x08	0x00
SPI	result	0.094348	0.00000512	0x20	0x00
SPI	result	0.09480304	0.00000512	0x0C	0x08
SPI	result	0.09480848	0.00000496	0x10	0x00
SPI	result	0.09481376	0.00000512	0x80	0x88
SPI	result	0.09481904	0.00000512	0x02	0x32
SPI	result	0.09507808	0.00000512	0x00	0x00
SPI	result	0.09508336	0.00000512	0x00	0x40
SPI	result	0.0950888	0.00000496	0x00	0x08
SPI	result	0.09509408	0.00000512	0x00	0x22
SPI	result	0.09534512	0.00000496	0x08	0x0C
SPI	result	0.0953504	0.00000512	0x00	0x00
SPI	result	0.09535568	0.00000512	0x88	0x80
SPI	result	0.09536112	0.00000496	0x32	0x32
SPI	result	0.13434384	0.00000496	0x00	0x00
SPI	result	0.13434912	0.00000496	0x01	0x00
SPI	result	0.1343544	0.00000512	0x08	0x00
SPI	result	0.13435968	0.00000512	0x42	0x00
SPI	result	0.13482208	0.00000512	0x0D	0x08
SPI	result	0.13482736	0.00000512	0x10	0x00
SPI	result	0.1348328	0.00000496	0x80	0x88
SPI	result	0.13483808	0.00000512	0x0A	0x74
SPI	result	0.1351024	0.00000512	0x00	0x54
SPI	result	0.13510768	0.00000512	0x00	0x4A
SPI	result	0.13511312	0.00000496	0x08	0x08
SPI	result	0.1351184	0.00000512	0x20	0x62
SPI	result	0.13555008	0.00000496	0x0E	0x0D
SPI	result	0.13555536	0.00000512	0x00	0x00
SPI	result	0.13556064	0.00000512	0x88	0x88
SPI	result	0.13556608	0.00000512	0x64	0x1A
SPI	result	0.1358264	0.00000512	0x00	0x00
SPI	result	0.13583168	0.00000512	0x00	0x40
SPI	result	0.13583696	0.00000512	0x09	0x08
