name	type	start_time	duration	mosi	miso
SPI	result	0.00365264	0.00000496	0x00	0x00
SPI	result	0.00365792	0.00000512	0x00	0x00
SPI	result	0.0036632	0.00000512	0x08	0x00
SPI	result	0.00366848	0.00000512	0x20	0x00
SPI	result	0.00411952	0.00000512	0x0E	0x08
SPI	result	0.00412496	0.00000496	0x10	0x00
SPI	result	0.00413024	0.00000512	0x80	0x88
SPI	result	0.00413552	0.00000512	0x12	0x32
SPI	result	0.00439024	0.00000512	0x00	0x01
SPI	result	0.00439552	0.00000512	0x00	0x00
SPI	result	0.0044008	0.00000512	0x00	0x08
SPI	result	0.00440624	0.00000512	0x00	0x28
SPI	result	0.00465264	0.00000496	0x08	0x0E
SPI	result	0.00465792	0.00000496	0x00	0x00
SPI	result	0.0046632	0.00000512	0x88	0x80
SPI	result	0.00466848	0.00000512	0x32	0x02
SPI	result	0.04361136	0.00000496	0x00	0x00
SPI	result	0.04361664	0.00000512	0x00	0x00
SPI	result	0.04362192	0.00000512	0x08	0x00
SPI	result	0.0436272	0.00000512	0x20	0x00
SPI	result	0.04409792	0.00000512	0x0F	0x08
SPI	result	0.0441032	0.00000512	0x10	0x10
SPI	result	0.04410864	0.00000496	0x80	0x88
SPI	result	0.04411392	0.00000512	0x1A	0x02
SPI	result	0.04436864	0.00000496	0x0F	0x08
SPI	result	0.04437392	0.00000512	0x10	0x10
SPI	result	0.0443792	0.00000512	0x80	0x88
SPI	result	0.04438464	0.00000496	0x1A	0x02
SPI	result	0.0446296	0.00000512	0x0F	0x08
SPI	result	0.04463488	0.00000512	0x10	0x10
SPI	result	0.04464032	0.00000496	0x80	0x88
SPI	result	0.0446456	0.00000512	0x1A	0x02
SPI	result	0.0450176	0.00000512	0x0F	0x08
SPI	result	0.04502288	0.00000512	0x10	0x00
SPI	result	0.04502832	0.00000496	0x80	0x88
SPI	result	0.0450336	0.00000512	0x1A	0x32
SPI	result	0.04532928	0.00000496	0x00	0x01
SPI	result	0.04533456	0.00000512	0x00	0x00
SPI	result	0.04533984	0.00000512	0x09	0x08
SPI	result	0.04534528	0.00000496	0xA6	0x28
SPI	result	0.04578064	0.00000496	0x08	0x0F
SPI	result	0.04578592	0.00000512	0x00	0x00
SPI	result	0.0457912	0.00000512	0x88	0x89
