name	type	start_time	duration	mosi	miso
SPI	result	0.02720288	0.00000496	0x00	0x00
SPI	result	0.02720816	0.00000496	0x00	0x00
SPI	result	0.02721344	0.00000512	0x08	0x00
SPI	result	0.02721872	0.00000512	0x20	0x00
SPI	result	0.02767408	0.00000512	0x08	0x08
SPI	result	0.02767936	0.00000512	0x10	0x00
SPI	result	0.0276848	0.00000496	0x80	0x88
SPI	result	0.02769008	0.00000512	0x22	0x32
SPI	result	0.02794576	0.00000512	0x00	0x01
SPI	result	0.02795104	0.00000512	0x00	0x00
SPI	result	0.02795648	0.00000496	0x00	0x08
SPI	result	0.02796176	0.00000512	0x00	0x28
SPI	result	0.02820912	0.00000496	0x08	0x08
SPI	result	0.0282144	0.00000512	0x00	0x00
SPI	result	0.02821968	0.00000512	0x88	0x80
SPI	result	0.02822512	0.00000496	0x32	0x12
SPI	result	0.06723616	0.00000512	0x00	0x00
SPI	result	0.06724144	0.00000512	0x00	0x00
SPI	result	0.06724688	0.00000496	0x08	0x00
SPI	result	0.06725216	0.00000512	0x20	0x00
SPI	result	0.0677512	0.00000496	0x09	0x08
SPI	result	0.06775648	0.00000512	0x10	0x00
SPI	result	0.06776176	0.00000512	0x80	0x88
SPI	result	0.0677672	0.00000496	0x2A	0x32
SPI	result	0.06805056	0.00000496	0x00	0x01
SPI	result	0.06805584	0.00000512	0x00	0x00
SPI	result	0.06806112	0.00000512	0x00	0x08
SPI	result	0.0680664	0.00000512	0x00	0x28
SPI	result	0.06831792	0.00000496	0x08	0x09
SPI	result	0.0683232	0.00000496	0x00	0x00
SPI	result	0.06832848	0.00000512	0x88	0x80
SPI	result	0.06833376	0.00000512	0x32	0x1A
SPI	result	0.10714064	0.00000496	0x00	0x00
SPI	result	0.10714592	0.00000512	0x00	0x00
SPI	result	0.1071512	0.00000512	0x08	0x00
SPI	result	0.10715664	0.00000496	0x20	0x00
SPI	result	0.10759888	0.00000512	0x0A	0x08
SPI	result	0.10760416	0.00000512	0x10	0x00
SPI	result	0.1076096	0.00000512	0x80	0x88
SPI	result	0.10761488	0.00000512	0x32	0x32
SPI	result	0.1078656	0.00000496	0x00	0x01
SPI	result	0.10787088	0.00000512	0x00	0x00
SPI	result	0.10787616	0.00000512	0x09	0x08
SPI	result	0.1078816	0.00000496	0xA6	0x28
SPI	result	0.10830528	0.00000496	0x0B	0x0A
SPI	result	0.10831056	0.00000512	0x00	0x00
SPI	result	0.10831584	0.00000512	0x88	0x89
SPI	result	0.10832128	0.00000496	0x0A	0x88
