name	type	start_time	duration	mosi	miso
SPI	result	0.02191968	0.00000512	0x00	0x00
SPI	result	0.02192496	0.00000512	0x00	0x00
SPI	result	0.0219304	0.00000512	0x08	0x00
SPI	result	0.02193568	0.00000512	0x20	0x00
SPI	result	0.02240096	0.00000512	0x09	0x08
SPI	result	0.0224064	0.00000512	0x10	0x00
SPI	result	0.02241168	0.00000512	0x80	0x88
SPI	result	0.02241696	0.00000512	0x2A	0x32
SPI	result	0.02269104	0.00000512	0x00	0x00
SPI	result	0.02269632	0.00000512	0x00	0x00
SPI	result	0.0227016	0.00000512	0x00	0x08
SPI	result	0.02270704	0.00000512	0x00	0x20
SPI	result	0.02297296	0.00000512	0x08	0x09
SPI	result	0.02297824	0.00000528	0x00	0x00
SPI	result	0.02298368	0.00000512	0x88	0x80
SPI	result	0.02298896	0.00000512	0x32	0x1A
SPI	result	0.06195488	0.00000512	0x00	0x00
SPI	result	0.06196016	0.00000512	0x00	0x00
SPI	result	0.06196544	0.00000528	0x08	0x00
SPI	result	0.06197088	0.00000512	0x20	0x00
SPI	result	0.06243216	0.00000512	0x0A	0x08
SPI	result	0.06243744	0.00000528	0x10	0x00
SPI	result	0.06244288	0.00000512	0x80	0x88
SPI	result	0.06244816	0.00000512	0x32	0x32
SPI	result	0.06271616	0.00000512	0x00	0x00
SPI	result	0.06272144	0.00000512	0x00	0x00
SPI	result	0.06272688	0.00000512	0x09	0x08
SPI	result	0.06273216	0.00000512	0xA6	0x20
SPI	result	0.06317616	0.00000512	0x0B	0x0A
SPI	result	0.06318144	0.00000512	0x00	0x00
SPI	result	0.06318688	0.00000512	0x88	0x89
SPI	result	0.06319216	0.00000512	0x0A	0x88
SPI	result	0.06348352	0.00000512	0x00	0x00
SPI	result	0.0634888	0.00000512	0x00	0x1D
SPI	result	0.06349424	0.00000512	0x00	0x09
SPI	result	0.06349952	0.00000512	0x00	0xA2
SPI	result	0.06375952	0.00000512	0x08	0x0B
SPI	result	0.0637648	0.00000512	0x00	0x00
SPI	result	0.06377024	0.00000512	0x89	0x80
SPI	result	0.06377552	0.00000512	0xB8	0x2A
SPI	result	0.10197136	0.00000512	0x00	0x00
SPI	result	0.10197664	0.00000512	0x00	0x00
SPI	result	0.10198208	0.00000512	0x08	0x00
SPI	result	0.10198736	0.00000512	0x20	0x00
SPI	result	0.1024488	0.00000496	0x0C	0x08
SPI	result	0.10245408	0.00000512	0x10	0x00
SPI	result	0.10245936	0.00000512	0x80	0x88
SPI	result	0.10246464	0.00000512	0x02	0x32
SPI	result	0.10273472	0.00000512	0x00	0x00
SPI	result	0.10274	0.00000512	0x00	0x00
SPI	result	0.10274544	0.00000512	0x00	0x08
SPI	result	0.10275072	0.00000512	0x00	0x20
SPI	result	0.10301744	0.00000512	0x08	0x0C
SPI	result	0.10302272	0.00000512	0x00	0x00
SPI	result	0.103028	0.00000512	0x88	0x80
SPI	result	0.10303344	0.00000512	0x32	0x32
SPI	result	0.14196464	0.00000512	0x00	0x00
SPI	result	0.14196992	0.00000512	0x00	0x00
SPI	result	0.1419752	0.00000512	0x08	0x00
SPI	result	0.14198064	0.00000512	0x20	0x00
SPI	result	0.1424432	0.00000512	0x0D	0x08
SPI	result	0.14244864	0.00000512	0x10	0x00
SPI	result	0.14245392	0.00000512	0x80	0x88
SPI	result	0.1424592	0.00000512	0x0A	0x32
SPI	result	0.14273328	0.00000512	0x00	0x00
SPI	result	0.14273856	0.00000512	0x00	0x00
SPI	result	0.14274384	0.00000512	0x00	0x08
SPI	result	0.14274928	0.00000512	0x00	0x20
SPI	result	0.1430192	0.00000512	0x08	0x0D
SPI	result	0.14302464	0.00000512	0x00	0x00
SPI	result	0.14302992	0.00000512	0x88	0x80
SPI	result	0.1430352	0.00000512	0x32	0x3A
SPI	result	0.18194384	0.00000512	0x00	0x00
SPI	result	0.18194912	0.00000512	0x00	0x00
SPI	result	0.1819544	0.00000512	0x08	0x00
SPI	result	0.18195984	0.00000512	0x20	0x00
SPI	result	0.1824224	0.00000512	0x0E	0x08
SPI	result	0.18242784	0.00000512	0x10	0x00
SPI	result	0.18243312	0.00000512	0x80	0x88
SPI	result	0.1824384	0.00000512	0x12	0x32
SPI	result	0.18270704	0.00000512	0x00	0x00
SPI	result	0.18271248	0.00000512	0x00	0x00
SPI	result	0.18271776	0.00000512	0x09	0x08
SPI	result	0.18272304	0.00000512	0xA6	0x20
SPI	result	0.18316784	0.00000512	0x0F	0x0E
SPI	result	0.18317312	0.00000512	0x00	0x00
SPI	result	0.1831784	0.00000512	0x88	0x89
SPI	result	0.18318384	0.00000512	0x2A	0xA8
SPI	result	0.1834864	0.00000512	0x00	0x00
