Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,1
0.001406880,0,0,0
0.001407200,0,0,1
0.001407520,0,0,0
0.001407840,0,0,1
0.001408160,0,0,0
0.001408480,0,0,1
0.001408960,0,0,0
0.001409120,0,0,1
0.001409600,0,0,0
0.001409760,0,0,1
0.001410240,0,0,0
0.001410400,0,0,1
0.001410880,0,0,0
0.001411200,0,0,1
0.001411520,0,0,0
0.001411840,0,0,1
0.001412160,0,0,0
0.001412480,0,0,1
0.001412960,0,0,0
0.001413120,0,0,1
0.001413600,0,0,0
0.001413760,0,0,1
0.001414240,0,0,0
0.001414400,0,0,1
0.001414880,0,0,0
0.001415200,0,0,1
0.001415520,0,0,0
0.001415840,0,0,1
0.001416160,0,0,0
0.001416480,0,0,1
0.001416960,0,0,0
0.001417120,0,0,1
0.001417600,0,0,0
0.001417760,0,0,1
0.001418240,0,0,0
0.001418400,0,0,1
0.001418880,0,0,0
0.001419200,0,0,1
0.001419520,0,0,0
0.001419840,0,0,1
0.001420160,1,0,0
0.001420480,1,0,1
0.001420800,0,0,0
0.001421120,0,0,1
0.001421600,0,0,0
0.001421760,0,0,1
0.001422240,0,0,0
0.001422400,0,0,1
0.001422880,0,0,0
0.001423200,0,0,1
0.001423520,0,0,0
0.001423840,0,0,1
0.001424160,1,0,0
0.001424480,1,0,1
0.001424800,0,0,0
0.001425120,0,0,1
0.001425600,0,0,0
0.001425760,0,0,1
0.001426240,0,0,0
0.001426400,0,0,1
0.001426880,0,0,0
0.001427200,0,0,1
0.001427520,0,0,0
0.001427840,0,0,1
0.001860640,0,0,0
0.001860800,0,0,1
0.001861280,0,0,0
0.001861440,0,0,1
0.001861920,0,0,0
0.001862080,0,0,1
0.001862560,0,0,0
0.001862720,0,0,1
0.001863200,1,1,0
0.001863520,1,1,1
0.001863840,1,0,0
0.001864160,1,0,1
0.001864480,1,0,0
0.001864800,1,0,1
0.001865120,0,0,1
0.001865280,0,0,0
0.001865440,0,0,1
0.001865920,0,0,0
0.001866080,0,0,1
0.001866560,0,0,0
0.001866720,0,0,1
0.001867200,0,0,0
0.001867520,0,0,1
0.001867840,1,0,0
0.001868160,1,0,1
0.001868480,0,0,0
0.001868800,0,0,1
0.001869280,0,0,0
0.001869440,0,0,1
0.001869920,0,0,0
0.001870080,0,0,1
0.001870560,0,0,0
0.001870720,0,0,1
0.001871200,1,1,0
