name	type	start_time	duration	mosi	miso
SPI	result	0.03593504	0.00000512	0x00	0x00
SPI	result	0.03594032	0.00000512	0x00	0x00
SPI	result	0.0359456	0.00000512	0x08	0x00
SPI	result	0.03595088	0.00000528	0x20	0x00
SPI	result	0.03642096	0.00000512	0x0F	0x08
SPI	result	0.03642624	0.00000512	0x10	0x00
SPI	result	0.03643168	0.00000512	0x80	0x88
SPI	result	0.03643696	0.00000512	0x1A	0x32
SPI	result	0.03673632	0.00000512	0x00	0x00
SPI	result	0.0367416	0.00000512	0x00	0x82
SPI	result	0.03674688	0.00000512	0x09	0x08
SPI	result	0.03675232	0.00000512	0xA6	0x26
SPI	result	0.03721904	0.00000496	0x08	0x0F
SPI	result	0.03722432	0.00000512	0x00	0x00
SPI	result	0.0372296	0.00000512	0x88	0x89
SPI	result	0.03723488	0.00000512	0x32	0xB0
SPI	result	0.03753104	0.00000496	0x00	0x00
SPI	result	0.03753632	0.00000512	0x00	0x1F
SPI	result	0.0375416	0.00000512	0x00	0x09
SPI	result	0.03754688	0.00000512	0x00	0xA4
SPI	result	0.03781904	0.00000496	0x08	0x08
SPI	result	0.03782432	0.00000512	0x00	0x00
SPI	result	0.0378296	0.00000512	0x89	0x80
SPI	result	0.03783488	0.00000512	0xB8	0x12
SPI	result	0.04116304	0.00000496	0x00	0x00
SPI	result	0.04116832	0.00000512	0x00	0x00
SPI	result	0.0411736	0.00000512	0x0F	0x00
SPI	result	0.04117888	0.00000512	0xC0	0x00
SPI	result	0.04162096	0.00000512	0x09	0x08
SPI	result	0.04162624	0.00000512	0x10	0x00
SPI	result	0.04163168	0.00000512	0x80	0x8F
SPI	result	0.04163696	0.00000512	0x2A	0xD2
SPI	result	0.04192768	0.00000512	0x00	0x00
SPI	result	0.04193296	0.00000512	0x00	0x00
SPI	result	0.04193824	0.00000512	0x00	0x0F
SPI	result	0.04194368	0.00000512	0x00	0xC0
SPI	result	0.04220896	0.00000512	0x08	0x09
SPI	result	0.04221424	0.00000512	0x00	0x00
SPI	result	0.04221968	0.00000512	0x8F	0x80
SPI	result	0.04222496	0.00000512	0xD2	0x1A
SPI	result	0.0425096	0.00000512	0x00	0x00
SPI	result	0.04251488	0.00000512	0x00	0x00
SPI	result	0.04252032	0.00000512	0x09	0x00
SPI	result	0.0425256	0.00000512	0xE8	0x00
SPI	result	0.04296288	0.00000512	0x0A	0x08
SPI	result	0.04296832	0.00000512	0x10	0x00
SPI	result	0.0429736	0.00000512	0x80	0x89
SPI	result	0.04297888	0.00000512	0x32	0xFA
SPI	result	0.04323888	0.00000512	0x00	0x00
SPI	result	0.04324432	0.00000512	0x00	0x00
SPI	result	0.0432496	0.00000512	0x00	0x09
SPI	result	0.04325488	0.00000512	0x00	0xE8
SPI	result	0.04351424	0.00000512	0x08	0x0A
SPI	result	0.04351968	0.00000512	0x00	0x00
SPI	result	0.04352496	0.00000512	0x89	0x80
