name	type	start_time	duration	mosi	miso
SPI	result	1.39076464	0.00000512	0x00	0x00
SPI	result	1.39077008	0.00000496	0x00	0x00
SPI	result	1.39077536	0.00000512	0x3F	0x00
SPI	result	1.39078064	0.00000512	0xC6	0x00
SPI	result	1.39159008	0.00000496	0x08	0x08
SPI	result	1.39159536	0.00000496	0x10	0x00
SPI	result	1.39160064	0.00000512	0x80	0xBF
SPI	result	1.39160592	0.00000512	0x22	0xD8
SPI	result	1.392156	0.00000512	0x00	0x00
SPI	result	1.39216128	0.00000512	0x00	0x00
SPI	result	1.39216656	0.00000512	0x00	0x3F
SPI	result	1.392172	0.00000512	0x00	0xC6
SPI	result	1.39270432	0.00000512	0x08	0x08
SPI	result	1.3927096	0.00000512	0x00	0x00
SPI	result	1.39271504	0.00000496	0xBF	0x80
SPI	result	1.39272032	0.00000512	0xD8	0x12
SPI	result	1.39326672	0.00000496	0xB8	0x00
SPI	result	1.393272	0.00000496	0x01	0x00
SPI	result	1.39327728	0.00000512	0x06	0x00
SPI	result	1.39328256	0.00000512	0x26	0x00
SPI	result	1.3940336	0.00000512	0x09	0x08
SPI	result	1.39403888	0.00000512	0x10	0x00
SPI	result	1.39404432	0.00000496	0x80	0x86
SPI	result	1.3940496	0.00000512	0x2A	0x2A
SPI	result	1.39457936	0.00000496	0x00	0xB8
SPI	result	1.39458464	0.00000496	0x00	0x01
SPI	result	1.39458992	0.00000512	0x05	0x06
SPI	result	1.3945952	0.00000512	0x14	0x26
SPI	result	1.395344	0.00000496	0x0A	0x09
SPI	result	1.39534928	0.00000496	0x00	0x10
SPI	result	1.39535456	0.00000512	0x86	0x85
SPI	result	1.39535984	0.00000512	0x3A	0x3E
SPI	result	1.395892	0.00000496	0x0A	0x09
SPI	result	1.39589728	0.00000496	0x00	0x00
SPI	result	1.39590256	0.00000512	0x86	0x85
SPI	result	1.39590784	0.00000512	0x3A	0x2E
SPI	result	1.39643696	0.00000496	0x00	0x00
SPI	result	1.39644224	0.00000512	0x00	0x00
SPI	result	1.39644752	0.00000512	0x00	0x05
SPI	result	1.3964528	0.00000512	0x00	0x14
SPI	result	1.39698192	0.00000496	0x08	0x0A
SPI	result	1.3969872	0.00000512	0x00	0x00
SPI	result	1.39699248	0.00000512	0x85	0x80
SPI	result	1.39699792	0.00000496	0x26	0x22
SPI	result	1.40003184	0.00000496	0xFF	0x00
SPI	result	1.40003712	0.00000512	0xFF	0x00
SPI	result	1.4000424	0.00000512	0x00	0x4C
SPI	result	1.40004784	0.00000496	0x00	0x52
SPI	result	1.40005312	0.00000512	0x00	0x31
SPI	result	1.4000584	0.00000512	0x00	0x30
SPI	result	1.40006384	0.00000496	0x00	0x37
SPI	result	1.40006912	0.00000512	0x00	0x41
SPI	result	1.4000744	0.00000512	0x00	0x00
SPI	result	1.40007984	0.00000496	0x00	0x00
SPI	result	1.40008512	0.00000512	0x00	0x46
SPI	result	1.4000904	0.00000512	0x00	0x53
SPI	result	1.40009584	0.00000496	0x00	0x53
SPI	result	1.40010112	0.00000512	0x00	0x47
SPI	result	1.4001064	0.00000512	0x00	0x57
SPI	result	1.40011184	0.00000496	0x00	0x35
SPI	result	1.40011712	0.00000512	0x00	0x30
SPI	result	1.4001224	0.00000512	0x00	0x37
SPI	result	1.40012784	0.00000496	0x00	0x47
SPI	result	1.40013312	0.00000512	0x00	0x46
SPI	result	1.4001384	0.00000512	0x00	0x32
SPI	result	1.40014384	0.00000496	0x00	0x35
SPI	result	1.40014912	0.00000512	0x00	0x30
SPI	result	1.4001544	0.00000512	0x00	0x6D
SPI	result	1.40015984	0.00000496	0x00	0x6D
SPI	result	1.40016512	0.00000512	0x00	0x46
SPI	result	1.4001704	0.00000512	0x00	0x34
SPI	result	1.40017584	0.00000496	0x00	0x20
SPI	result	1.40018112	0.00000512	0x00	0x52
SPI	result	1.4001864	0.00000512	0x00	0x20
SPI	result	1.40019184	0.00000496	0x00	0x4C
SPI	result	1.40019712	0.00000512	0x00	0x4D
SPI	result	1.4002024	0.00000512	0x00	0x20
SPI	result	1.40020784	0.00000496	0x00	0x4F
SPI	result	1.40021312	0.00000512	0x00	0x49
SPI	result	1.4002184	0.00000512	0x00	0x53
SPI	result	1.40022384	0.00000496	0x00	0x20
SPI	result	1.40022912	0.00000512	0x00	0x57
SPI	result	1.4002344	0.00000512	0x00	0x52
SPI	result	1.40023984	0.00000496	0x00	0x00
SPI	result	1.40024512	0.00000512	0x00	0x00
SPI	result	1.4002504	0.00000512	0x00	0x00
SPI	result	1.40025584	0.00000496	0x00	0x00
SPI	result	1.40026112	0.00000512	0x00	0x00
SPI	result	1.4002664	0.00000512	0x00	0x00
SPI	result	1.40027184	0.00000496	0x00	0x00
SPI	result	1.40027712	0.00000512	0x00	0x00
SPI	result	1.4002824	0.00000512	0x00	0x00
SPI	result	1.40028784	0.00000496	0x00	0x00
SPI	result	1.40029312	0.00000512	0x00	0x00
SPI	result	1.4002984	0.00000512	0x00	0x00
SPI	result	1.40030384	0.00000496	0x00	0x00
SPI	result	1.40030912	0.00000512	0x00	0x00
SPI	result	1.4003144	0.00000512	0x00	0x00
SPI	result	1.40031984	0.00000496	0x00	0x00
SPI	result	1.40032512	0.00000512	0x00	0x00
SPI	result	1.4003304	0.00000512	0x00	0x00
SPI	result	1.40033584	0.00000496	0x00	0x00
SPI	result	1.40034112	0.00000512	0x00	0x00
