name	type	start_time	duration	mosi	miso
SPI	result	1.03498848	0.00000496	0x00	0x00
SPI	result	1.03499376	0.00000512	0x00	0x00
SPI	result	1.03499904	0.00000512	0x3F	0x00
SPI	result	1.03500448	0.00000496	0xC6	0x00
SPI	result	1.0358064	0.00000512	0x08	0x08
SPI	result	1.03581168	0.00000512	0x10	0x00
SPI	result	1.03581712	0.00000496	0x80	0xBF
SPI	result	1.0358224	0.00000512	0x22	0xD8
SPI	result	1.03637376	0.00000512	0x00	0x00
SPI	result	1.03637904	0.00000512	0x00	0x00
SPI	result	1.03638432	0.00000512	0x00	0x3F
SPI	result	1.03638976	0.00000512	0x00	0xC6
SPI	result	1.0369224	0.00000512	0x08	0x08
SPI	result	1.03692768	0.00000512	0x00	0x00
SPI	result	1.03693312	0.00000496	0xBF	0x80
SPI	result	1.0369384	0.00000512	0xD8	0x12
SPI	result	1.03748544	0.00000496	0xB8	0x00
SPI	result	1.03749072	0.00000512	0x01	0x00
SPI	result	1.037496	0.00000512	0x06	0x00
SPI	result	1.03750144	0.00000496	0x26	0x00
SPI	result	1.03825168	0.00000512	0x09	0x08
SPI	result	1.03825696	0.00000512	0x10	0x00
SPI	result	1.0382624	0.00000496	0x80	0x86
SPI	result	1.03826768	0.00000512	0x2A	0x2A
SPI	result	1.0387984	0.00000496	0x00	0xB8
SPI	result	1.03880368	0.00000512	0x00	0x01
SPI	result	1.03880896	0.00000512	0x05	0x06
SPI	result	1.03881424	0.00000512	0x14	0x26
SPI	result	1.03956432	0.00000512	0x0A	0x09
SPI	result	1.0395696	0.00000512	0x00	0x00
SPI	result	1.03957504	0.00000496	0x86	0x85
SPI	result	1.03958032	0.00000512	0x3A	0x2E
SPI	result	1.04026192	0.00000512	0x00	0x00
SPI	result	1.04026736	0.00000496	0x00	0x00
SPI	result	1.04027264	0.00000512	0x00	0x05
SPI	result	1.04027792	0.00000512	0x00	0x14
SPI	result	1.04081264	0.00000512	0x08	0x0A
SPI	result	1.04081792	0.00000512	0x00	0x00
SPI	result	1.04082336	0.00000496	0x85	0x80
SPI	result	1.04082864	0.00000512	0x26	0x22
SPI	result	1.04386592	0.00000496	0xFF	0x00
SPI	result	1.0438712	0.00000512	0xFF	0x00
SPI	result	1.04387648	0.00000512	0x00	0x4C
SPI	result	1.04388192	0.00000496	0x00	0x52
SPI	result	1.0438872	0.00000512	0x00	0x31
SPI	result	1.04389248	0.00000512	0x00	0x30
SPI	result	1.04389792	0.00000496	0x00	0x37
SPI	result	1.0439032	0.00000512	0x00	0x41
SPI	result	1.04390848	0.00000512	0x00	0x00
SPI	result	1.04391392	0.00000496	0x00	0x00
SPI	result	1.0439192	0.00000512	0x00	0x46
SPI	result	1.04392448	0.00000512	0x00	0x53
SPI	result	1.04392976	0.00000512	0x00	0x53
SPI	result	1.0439352	0.00000512	0x00	0x47
SPI	result	1.04394048	0.00000512	0x00	0x57
SPI	result	1.04394576	0.00000512	0x00	0x35
SPI	result	1.0439512	0.00000512	0x00	0x30
SPI	result	1.04395648	0.00000512	0x00	0x37
SPI	result	1.04396176	0.00000512	0x00	0x47
SPI	result	1.0439672	0.00000512	0x00	0x46
SPI	result	1.04397248	0.00000512	0x00	0x32
SPI	result	1.04397792	0.00000496	0x00	0x35
SPI	result	1.0439832	0.00000512	0x00	0x30
SPI	result	1.04398848	0.00000512	0x00	0x6D
SPI	result	1.04399376	0.00000512	0x00	0x6D
SPI	result	1.0439992	0.00000512	0x00	0x46
SPI	result	1.04400448	0.00000512	0x00	0x34
SPI	result	1.04400992	0.00000496	0x00	0x20
SPI	result	1.0440152	0.00000512	0x00	0x52
SPI	result	1.04402048	0.00000512	0x00	0x20
SPI	result	1.04402592	0.00000496	0x00	0x4C
SPI	result	1.0440312	0.00000512	0x00	0x4D
SPI	result	1.04403648	0.00000512	0x00	0x20
SPI	result	1.04404192	0.00000496	0x00	0x4F
SPI	result	1.0440472	0.00000512	0x00	0x49
SPI	result	1.04405248	0.00000512	0x00	0x53
SPI	result	1.04405776	0.00000512	0x00	0x20
SPI	result	1.0440632	0.00000512	0x00	0x57
SPI	result	1.04406848	0.00000512	0x00	0x52
SPI	result	1.04407392	0.00000496	0x00	0x00
SPI	result	1.0440792	0.00000512	0x00	0x00
SPI	result	1.04408448	0.00000512	0x00	0x00
SPI	result	1.04408992	0.00000496	0x00	0x00
SPI	result	1.0440952	0.00000512	0x00	0x00
SPI	result	1.04410048	0.00000512	0x00	0x00
SPI	result	1.04410592	0.00000496	0x00	0x00
SPI	result	1.0441112	0.00000512	0x00	0x00
SPI	result	1.04411648	0.00000512	0x00	0x00
SPI	result	1.04412192	0.00000496	0x00	0x00
SPI	result	1.0441272	0.00000512	0x00	0x00
SPI	result	1.04413248	0.00000512	0x00	0x00
SPI	result	1.04413792	0.00000496	0x00	0x00
SPI	result	1.0441432	0.00000512	0x00	0x00
SPI	result	1.04414848	0.00000512	0x00	0x00
SPI	result	1.04415376	0.00000512	0x00	0x00
SPI	result	1.0441592	0.00000512	0x00	0x00
SPI	result	1.04416448	0.00000512	0x00	0x00
SPI	result	1.04416976	0.00000512	0x00	0x00
SPI	result	1.0441752	0.00000512	0x00	0x00
SPI	result	1.04418048	0.00000512	0x00	0x00
SPI	result	1.04418576	0.00000512	0x00	0x00
SPI	result	1.0441912	0.00000512	0x00	0x00
SPI	result	1.04419648	0.00000512	0x00	0x00
SPI	result	1.04420176	0.00000512	0x00	0x00
SPI	result	1.0442072	0.00000512	0x00	0x00
SPI	result	1.04421248	0.00000512	0x00	0x00
SPI	result	1.04421776	0.00000512	0x00	0x00
SPI	result	1.0442232	0.00000512	0x00	0x00
SPI	result	1.04422848	0.00000512	0x00	0x00
SPI	result	1.04423376	0.00000512	0x00	0x00
SPI	result	1.0442392	0.00000512	0x00	0x00
SPI	result	1.04424448	0.00000512	0x00	0x00
SPI	result	1.04424976	0.00000512	0x00	0x00
SPI	result	1.0442552	0.00000512	0x00	0x00
SPI	result	1.04426048	0.00000512	0x00	0x00
SPI	result	1.04426576	0.00000512	0x00	0x00
SPI	result	1.0442712	0.00000512	0x00	0x00
SPI	result	1.04427648	0.00000512	0x00	0x00
SPI	result	1.04428176	0.00000512	0x00	0x00
SPI	result	1.0442872	0.00000512	0x00	0x00
SPI	result	1.04429248	0.00000512	0x00	0x00
SPI	result	1.04429776	0.00000512	0x00	0x00
SPI	result	1.0443032	0.00000512	0x00	0x32
SPI	result	1.04430848	0.00000512	0x00	0x35
SPI	result	1.04431376	0.00000512	0x00	0x43
SPI	result	1.0443192	0.00000512	0x00	0x30
SPI	result	1.04432448	0.00000512	0x00	0x30
SPI	result	1.04432976	0.00000512	0x00	0x34
SPI	result	1.0443352	0.00000512	0x00	0x37
SPI	result	1.04434048	0.00000512	0x00	0x35
SPI	result	1.04434576	0.00000512	0x00	0x00
SPI	result	1.0443512	0.00000512	0x00	0x00
SPI	result	1.04435648	0.00000512	0x00	0x01
SPI	result	1.04436176	0.00000512	0x00	0x80
SPI	result	1.0443672	0.00000512	0x00	0x01
SPI	result	1.04437248	0.00000512	0x00	0x11
SPI	result	1.04437776	0.00000512	0x00	0x01
SPI	result	1.0443832	0.00000512	0x00	0x10
SPI	result	1.04438848	0.00000512	0x00	0x01
SPI	result	1.04439376	0.00000512	0x00	0x10
SPI	result	1.0443992	0.00000512	0x00	0x01
SPI	result	1.04440448	0.00000512	0x00	0x10
SPI	result	1.04440976	0.00000512	0x00	0xC8
SPI	result	1.0444152	0.00000512	0x00	0x09
SPI	result	1.04442048	0.00000512	0x00	0x00
SPI	result	1.04442576	0.00000512	0x00	0x00
SPI	result	1.0444312	0.00000512	0x00	0x00
SPI	result	1.04443648	0.00000512	0x00	0x00
SPI	result	1.04444176	0.00000512	0x00	0x00
SPI	result	1.0444472	0.00000512	0x00	0x00
SPI	result	1.04445248	0.00000512	0x00	0x00
SPI	result	1.04445776	0.00000512	0x00	0x00
SPI	result	1.0444632	0.00000512	0x00	0x00
SPI	result	1.04446848	0.00000512	0x00	0x00
SPI	result	1.04447376	0.00000512	0x00	0x00
SPI	result	1.0444792	0.00000512	0x00	0x00
SPI	result	1.04448448	0.00000512	0x00	0x00
SPI	result	1.04448976	0.00000512	0x00	0x00
SPI	result	1.0444952	0.00000512	0x00	0x00
SPI	result	1.04450048	0.00000512	0x00	0x00
SPI	result	1.04450576	0.00000512	0x00	0x00
SPI	result	1.0445112	0.00000512	0x00	0x00
SPI	result	1.04451648	0.00000512	0x00	0x00
SPI	result	1.04452176	0.00000512	0x00	0x00
SPI	result	1.0445272	0.00000512	0x00	0x00
SPI	result	1.04453248	0.00000512	0x00	0x00
SPI	result	1.04453776	0.00000512	0x00	0x00
SPI	result	1.0445432	0.00000512	0x00	0x00
SPI	result	1.04454848	0.00000512	0x00	0x00
SPI	result	1.04455376	0.00000512	0x00	0x00
SPI	result	1.0445592	0.00000512	0x5A	0x55
SPI	result	1.04764416	0.00000496	0xFF	0xFF
SPI	result	1.04764944	0.00000512	0x00	0xFF
SPI	result	1.04765472	0.00000512	0x00	0x4C
SPI	result	1.04766016	0.00000496	0x00	0x52
SPI	result	1.04766544	0.00000512	0x00	0x31
SPI	result	1.04767072	0.00000512	0x00	0x30
SPI	result	1.047676	0.00000512	0x00	0x37
SPI	result	1.04768144	0.00000512	0x00	0x41
SPI	result	1.04768672	0.00000512	0x00	0x00
SPI	result	1.047692	0.00000512	0x00	0x00
SPI	result	1.04769744	0.00000512	0x00	0x46
SPI	result	1.04770272	0.00000512	0x00	0x53
SPI	result	1.047708	0.00000512	0x00	0x53
SPI	result	1.04771344	0.00000512	0x00	0x47
SPI	result	1.04771872	0.00000512	0x00	0x57
SPI	result	1.047724	0.00000512	0x00	0x35
SPI	result	1.04772944	0.00000512	0x00	0x30
SPI	result	1.04773472	0.00000512	0x00	0x37
SPI	result	1.04774	0.00000512	0x00	0x47
SPI	result	1.04774544	0.00000512	0x00	0x46
SPI	result	1.04775072	0.00000512	0x00	0x32
SPI	result	1.047756	0.00000512	0x00	0x35
SPI	result	1.04776144	0.00000512	0x00	0x30
SPI	result	1.04776672	0.00000512	0x00	0x6D
SPI	result	1.047772	0.00000512	0x00	0x6D
SPI	result	1.04777744	0.00000512	0x00	0x46
SPI	result	1.04778272	0.00000512	0x00	0x34
SPI	result	1.047788	0.00000512	0x00	0x20
SPI	result	1.04779344	0.00000512	0x00	0x52
SPI	result	1.04779872	0.00000512	0x00	0x20
SPI	result	1.047804	0.00000512	0x00	0x4C
SPI	result	1.04780944	0.00000512	0x00	0x4D
SPI	result	1.04781472	0.00000512	0x00	0x20
SPI	result	1.04782	0.00000512	0x00	0x4F
SPI	result	1.04782544	0.00000512	0x00	0x49
SPI	result	1.04783072	0.00000512	0x00	0x53
SPI	result	1.047836	0.00000512	0x00	0x20
SPI	result	1.04784144	0.00000512	0x00	0x57
SPI	result	1.04784672	0.00000512	0x00	0x52
SPI	result	1.047852	0.00000512	0x00	0x00
SPI	result	1.04785744	0.00000512	0x00	0x00
SPI	result	1.04786272	0.00000512	0x00	0x00
SPI	result	1.047868	0.00000512	0x00	0x00
SPI	result	1.04787344	0.00000512	0x00	0x00
SPI	result	1.04787872	0.00000512	0x00	0x00
SPI	result	1.047884	0.00000512	0x00	0x00
SPI	result	1.04788944	0.00000512	0x00	0x00
SPI	result	1.04789472	0.00000512	0x00	0x00
SPI	result	1.0479	0.00000512	0x00	0x00
SPI	result	1.04790544	0.00000512	0x00	0x00
SPI	result	1.04791072	0.00000512	0x00	0x00
SPI	result	1.047916	0.00000512	0x00	0x00
SPI	result	1.04792144	0.00000512	0x00	0x00
SPI	result	1.04792672	0.00000512	0x00	0x00
SPI	result	1.047932	0.00000512	0x00	0x00
SPI	result	1.04793744	0.00000512	0x00	0x00
SPI	result	1.04794272	0.00000512	0x00	0x00
SPI	result	1.047948	0.00000512	0x00	0x00
SPI	result	1.04795344	0.00000512	0x00	0x00
SPI	result	1.04795872	0.00000512	0x00	0x00
SPI	result	1.047964	0.00000512	0x00	0x00
SPI	result	1.04796944	0.00000512	0x00	0x00
SPI	result	1.04797472	0.00000512	0x00	0x00
SPI	result	1.04798	0.00000512	0x00	0x00
SPI	result	1.04798544	0.00000512	0x00	0x00
SPI	result	1.04799072	0.00000512	0x00	0x00
SPI	result	1.047996	0.00000512	0x00	0x00
SPI	result	1.04800144	0.00000512	0x00	0x00
SPI	result	1.04800672	0.00000512	0x00	0x00
SPI	result	1.048012	0.00000512	0x00	0x00
SPI	result	1.04801744	0.00000512	0x00	0x00
SPI	result	1.04802272	0.00000512	0x00	0x00
SPI	result	1.048028	0.00000512	0x00	0x00
SPI	result	1.04803344	0.00000512	0x00	0x00
SPI	result	1.04803872	0.00000512	0x00	0x00
SPI	result	1.048044	0.00000512	0x00	0x00
SPI	result	1.04804944	0.00000512	0x00	0x00
SPI	result	1.04805472	0.00000512	0x00	0x00
SPI	result	1.04806	0.00000512	0x00	0x00
SPI	result	1.04806544	0.00000512	0x00	0x00
SPI	result	1.04807072	0.00000512	0x00	0x00
SPI	result	1.048076	0.00000512	0x00	0x00
SPI	result	1.04808144	0.00000512	0x00	0x32
SPI	result	1.04808672	0.00000512	0x00	0x35
SPI	result	1.048092	0.00000512	0x00	0x43
SPI	result	1.04809744	0.00000512	0x00	0x30
SPI	result	1.04810272	0.00000512	0x00	0x30
SPI	result	1.048108	0.00000512	0x00	0x34
SPI	result	1.04811344	0.00000512	0x00	0x37
SPI	result	1.04811872	0.00000512	0x00	0x35
SPI	result	1.048124	0.00000512	0x00	0x00
SPI	result	1.04812944	0.00000512	0x00	0x00
SPI	result	1.04813472	0.00000512	0x00	0x01
SPI	result	1.04814	0.00000512	0x00	0x80
SPI	result	1.04814544	0.00000512	0x00	0x01
SPI	result	1.04815072	0.00000512	0x00	0x11
SPI	result	1.048156	0.00000512	0x00	0x01
SPI	result	1.04816144	0.00000512	0x00	0x10
SPI	result	1.04816672	0.00000512	0x00	0x01
SPI	result	1.048172	0.00000512	0x00	0x10
SPI	result	1.04817744	0.00000512	0x00	0x01
SPI	result	1.04818272	0.00000512	0x00	0x10
SPI	result	1.048188	0.00000512	0x00	0xC8
SPI	result	1.04819344	0.00000512	0x00	0x09
SPI	result	1.04819872	0.00000512	0x00	0x00
SPI	result	1.048204	0.00000512	0x00	0x00
SPI	result	1.04820944	0.00000512	0x00	0x00
SPI	result	1.04821472	0.00000512	0x00	0x00
SPI	result	1.04822	0.00000512	0x00	0x00
SPI	result	1.04822544	0.00000512	0x00	0x00
SPI	result	1.04823072	0.00000512	0x00	0x00
SPI	result	1.048236	0.00000512	0x00	0x00
SPI	result	1.04824144	0.00000512	0x00	0x00
SPI	result	1.04824672	0.00000512	0x00	0x00
SPI	result	1.048252	0.00000512	0x00	0x00
SPI	result	1.04825744	0.00000512	0x00	0x00
SPI	result	1.04826272	0.00000512	0x00	0x00
SPI	result	1.048268	0.00000512	0x00	0x00
SPI	result	1.04827344	0.00000512	0x00	0x00
SPI	result	1.04827872	0.00000512	0x00	0x00
SPI	result	1.048284	0.00000512	0x00	0x00
SPI	result	1.04828944	0.00000512	0x00	0x00
SPI	result	1.04829472	0.00000512	0x00	0x00
SPI	result	1.0483	0.00000512	0x00	0x00
SPI	result	1.04830544	0.00000512	0x00	0x00
SPI	result	1.04831072	0.00000512	0x00	0x00
SPI	result	1.048316	0.00000512	0x00	0x00
SPI	result	1.04832144	0.00000512	0x00	0x00
SPI	result	1.04832672	0.00000512	0x00	0x00
SPI	result	1.048332	0.00000512	0x00	0x00
SPI	result	1.04833744	0.00000512	0x5A	0x53
SPI	result	1.05142176	0.00000496	0x00	0x00
SPI	result	1.05142704	0.00000496	0x00	0x00
SPI	result	1.05143232	0.00000512	0x08	0x00
SPI	result	1.0514376	0.00000512	0x20	0x00
SPI	result	1.0521864	0.00000496	0x0B	0x08
SPI	result	1.05219168	0.00000496	0x10	0x00
SPI	result	1.05219696	0.00000512	0x80	0x88
SPI	result	1.05220224	0.00000512	0x3A	0x32
SPI	result	1.05273232	0.00000512	0x00	0x10
SPI	result	1.0527376	0.00000512	0x00	0x99
SPI	result	1.05274288	0.00000512	0x00	0x08
SPI	result	1.05274832	0.00000512	0x00	0x20
SPI	result	1.05327696	0.00000512	0x08	0x0B
SPI	result	1.05328224	0.00000512	0x00	0x00
SPI	result	1.05328768	0.00000496	0x88	0x80
SPI	result	1.05329296	0.00000512	0x32	0x2A
SPI	result	1.05382464	0.00000496	0x00	0x00
SPI	result	1.05382992	0.00000512	0x00	0x00
SPI	result	1.0538352	0.00000512	0x0C	0x00
SPI	result	1.05384064	0.00000496	0x30	0x00
SPI	result	1.05459296	0.00000496	0x0C	0x08
SPI	result	1.05459824	0.00000512	0x10	0x00
SPI	result	1.05460352	0.00000512	0x80	0x8C
SPI	result	1.05460896	0.00000496	0x02	0x02
SPI	result	1.05513824	0.00000512	0x00	0x00
SPI	result	1.05514352	0.00000512	0x00	0x03
SPI	result	1.0551488	0.00000512	0x0C	0x0C
SPI	result	1.05515424	0.00000512	0x72	0x12
SPI	result	1.0559032	0.00000512	0x0D	0x0C
SPI	result	1.05590848	0.00000512	0x00	0x00
SPI	result	1.05591392	0.00000496	0x8C	0x8C
SPI	result	1.0559192	0.00000512	0x2A	0x64
SPI	result	1.05645056	0.00000496	0x00	0x00
SPI	result	1.05645584	0.00000512	0x00	0x40
SPI	result	1.05646112	0.00000512	0x00	0x0C
SPI	result	1.05646656	0.00000496	0x00	0x74
SPI	result	1.0569952	0.00000512	0x08	0x0D
SPI	result	1.05700048	0.00000512	0x00	0x00
SPI	result	1.05700592	0.00000496	0x8C	0x80
SPI	result	1.0570112	0.00000512	0x44	0x3A
SPI	result	1.10239728	0.00000512	0x00	0x00
SPI	result	1.10240256	0.00000512	0x00	0x00
SPI	result	1.102408	0.00000496	0x08	0x00
SPI	result	1.10241328	0.00000512	0x20	0x00
SPI	result	1.10288336	0.00000496	0x0E	0x08
SPI	result	1.10288864	0.00000496	0x10	0x00
SPI	result	1.10289392	0.00000512	0x80	0x88
SPI	result	1.1028992	0.00000512	0x12	0x32
SPI	result	1.10317424	0.00000512	0x00	0x00
SPI	result	1.10317968	0.00000496	0x00	0x89
SPI	result	1.10318496	0.00000512	0x00	0x08
SPI	result	1.10319024	0.00000512	0x00	0x0C
SPI	result	1.10346128	0.00000512	0x08	0x0E
SPI	result	1.10346656	0.00000512	0x00	0x00
SPI	result	1.103472	0.00000496	0x88	0x80
SPI	result	1.10347728	0.00000512	0x32	0x02
SPI	result	1.10375696	0.00000496	0x00	0x00
SPI	result	1.10376224	0.00000512	0x00	0x00
SPI	result	1.10376752	0.00000512	0x0C	0x00
SPI	result	1.10377296	0.00000496	0xB2	0x00
SPI	result	1.104216	0.00000496	0x0F	0x08
SPI	result	1.10422128	0.00000496	0x10	0x00
SPI	result	1.10422656	0.00000512	0x80	0x8C
SPI	result	1.10423184	0.00000512	0x1A	0x84
SPI	result	1.1045056	0.00000496	0x00	0x80
SPI	result	1.10451088	0.00000512	0x00	0x01
SPI	result	1.10451616	0.00000512	0x0C	0x0C
SPI	result	1.1045216	0.00000496	0x30	0xB2
SPI	result	1.1049776	0.00000496	0x08	0x0F
SPI	result	1.10498288	0.00000512	0x00	0x00
SPI	result	1.10498816	0.00000512	0x8C	0x8C
SPI	result	1.1049936	0.00000496	0x84	0x3A
SPI	result	1.1052632	0.00000512	0x00	0x00
SPI	result	1.10526848	0.00000512	0x00	0x03
SPI	result	1.10527392	0.00000496	0x00	0x0C
SPI	result	1.1052792	0.00000512	0x00	0x12
SPI	result	1.10554192	0.00000496	0x08	0x08
SPI	result	1.1055472	0.00000512	0x00	0x00
SPI	result	1.10555248	0.00000512	0x8C	0x80
SPI	result	1.10555792	0.00000496	0x02	0x12
SPI	result	1.14255088	0.00000512	0x00	0x00
SPI	result	1.14255616	0.00000512	0x00	0x00
SPI	result	1.1425616	0.00000496	0x08	0x00
SPI	result	1.14256688	0.00000512	0x20	0x00
SPI	result	1.14305728	0.00000496	0x09	0x08
SPI	result	1.14306256	0.00000496	0x10	0x00
SPI	result	1.14306784	0.00000512	0x80	0x88
SPI	result	1.14307312	0.00000512	0x2A	0x32
SPI	result	1.14336256	0.00000496	0x00	0x00
SPI	result	1.14336784	0.00000512	0x00	0x81
SPI	result	1.14337312	0.00000512	0x00	0x08
SPI	result	1.14337856	0.00000496	0x00	0x04
SPI	result	1.14364784	0.00000512	0x08	0x09
SPI	result	1.14365312	0.00000512	0x00	0x00
SPI	result	1.14365856	0.00000496	0x88	0x80
SPI	result	1.14366384	0.00000512	0x32	0x1A
SPI	result	1.18242784	0.00000496	0x00	0x00
SPI	result	1.18243312	0.00000512	0x00	0x00
SPI	result	1.1824384	0.00000512	0x08	0x00
SPI	result	1.18244384	0.00000496	0x20	0x00
SPI	result	1.18290144	0.00000512	0x0A	0x08
SPI	result	1.18290672	0.00000512	0x10	0x00
SPI	result	1.18291216	0.00000496	0x80	0x88
SPI	result	1.18291744	0.00000512	0x32	0x32
SPI	result	1.18320272	0.00000512	0x00	0x00
SPI	result	1.18320816	0.00000496	0x00	0x81
SPI	result	1.18321344	0.00000512	0x00	0x08
SPI	result	1.18321872	0.00000512	0x00	0x04
SPI	result	1.18354544	0.00000512	0x08	0x0A
SPI	result	1.18355072	0.00000512	0x00	0x00
SPI	result	1.18355616	0.00000496	0x88	0x80
SPI	result	1.18356144	0.00000512	0x32	0x22
SPI	result	1.22239536	0.00000512	0x00	0x00
SPI	result	1.22240064	0.00000512	0x00	0x00
SPI	result	1.22240608	0.00000496	0x08	0x00
SPI	result	1.22241136	0.00000512	0x20	0x00
SPI	result	1.22293472	0.00000496	0x0B	0x08
SPI	result	1.22294	0.00000512	0x10	0x00
SPI	result	1.22294528	0.00000512	0x80	0x88
SPI	result	1.22295072	0.00000496	0x3A	0x32
SPI	result	1.22322832	0.00000512	0x00	0x00
SPI	result	1.22323376	0.00000496	0x00	0x81
SPI	result	1.22323904	0.00000512	0x00	0x08
SPI	result	1.22324432	0.00000512	0x00	0x04
SPI	result	1.22350176	0.00000496	0x08	0x0B
SPI	result	1.22350704	0.00000496	0x00	0x00
SPI	result	1.22351232	0.00000512	0x88	0x80
SPI	result	1.2235176	0.00000512	0x32	0x2A
SPI	result	1.26247904	0.00000496	0x00	0x00
SPI	result	1.26248432	0.00000496	0x00	0x00
SPI	result	1.2624896	0.00000512	0x08	0x00
SPI	result	1.26249488	0.00000512	0x20	0x00
SPI	result	1.26297168	0.00000496	0x0C	0x08
SPI	result	1.26297696	0.00000512	0x10	0x00
SPI	result	1.26298224	0.00000512	0x80	0x88
SPI	result	1.26298752	0.00000512	0x02	0x32
SPI	result	1.26325936	0.00000496	0x00	0x00
SPI	result	1.26326464	0.00000496	0x00	0x81
SPI	result	1.26326992	0.00000512	0x00	0x08
SPI	result	1.2632752	0.00000512	0x00	0x04
SPI	result	1.26353024	0.00000512	0x08	0x0C
SPI	result	1.26353552	0.00000512	0x00	0x00
SPI	result	1.26354096	0.00000496	0x88	0x80
SPI	result	1.26354624	0.00000512	0x32	0x32
SPI	result	1.30240464	0.00000496	0x00	0x00
SPI	result	1.30240992	0.00000496	0x00	0x00
SPI	result	1.3024152	0.00000512	0x08	0x00
SPI	result	1.30242048	0.00000512	0x20	0x00
SPI	result	1.30289856	0.00000496	0x0D	0x08
SPI	result	1.30290384	0.00000512	0x10	0x00
SPI	result	1.30290912	0.00000512	0x80	0x88
SPI	result	1.30291456	0.00000496	0x0A	0x32
SPI	result	1.30317424	0.00000496	0x00	0x00
SPI	result	1.30317952	0.00000512	0x00	0x81
SPI	result	1.3031848	0.00000512	0x00	0x08
SPI	result	1.30319024	0.00000496	0x00	0x04
SPI	result	1.3034432	0.00000512	0x08	0x0D
SPI	result	1.30344848	0.00000512	0x00	0x00
SPI	result	1.30345392	0.00000496	0x88	0x80
SPI	result	1.3034592	0.00000512	0x32	0x3A
SPI	result	1.34237856	0.00000496	0x00	0x00
SPI	result	1.34238384	0.00000496	0x00	0x00
SPI	result	1.34238912	0.00000512	0x08	0x00
SPI	result	1.3423944	0.00000512	0x20	0x00
SPI	result	1.34285616	0.00000496	0x0E	0x08
SPI	result	1.34286144	0.00000512	0x10	0x00
SPI	result	1.34286672	0.00000512	0x80	0x88
SPI	result	1.34287216	0.00000496	0x12	0x32
SPI	result	1.34313344	0.00000512	0x00	0x00
SPI	result	1.34313872	0.00000512	0x00	0x81
SPI	result	1.343144	0.00000512	0x00	0x08
SPI	result	1.34314944	0.00000512	0x00	0x04
SPI	result	1.3434008	0.00000496	0x08	0x0E
SPI	result	1.34340608	0.00000512	0x00	0x00
SPI	result	1.34341136	0.00000512	0x88	0x80
SPI	result	1.3434168	0.00000496	0x32	0x02
SPI	result	1.3823624	0.00000512	0x00	0x00
SPI	result	1.38236768	0.00000512	0x00	0x00
SPI	result	1.38237296	0.00000512	0x08	0x00
SPI	result	1.3823784	0.00000512	0x20	0x00
SPI	result	1.38283408	0.00000496	0x0F	0x08
SPI	result	1.38283936	0.00000512	0x10	0x00
SPI	result	1.38284464	0.00000512	0x80	0x88
SPI	result	1.38285008	0.00000496	0x1A	0x32
SPI	result	1.38310864	0.00000512	0x00	0x00
SPI	result	1.38311408	0.00000496	0x00	0x81
SPI	result	1.38311936	0.00000512	0x00	0x08
SPI	result	1.38312464	0.00000512	0x00	0x04
SPI	result	1.38337568	0.00000512	0x08	0x0F
SPI	result	1.38338096	0.00000512	0x00	0x00
SPI	result	1.3833864	0.00000496	0x88	0x80
SPI	result	1.38339168	0.00000512	0x32	0x0A
SPI	result	1.42237136	0.00000496	0x00	0x00
SPI	result	1.42237664	0.00000512	0x00	0x00
SPI	result	1.42238192	0.00000512	0x08	0x00
SPI	result	1.4223872	0.00000512	0x20	0x00
SPI	result	1.42284624	0.00000512	0x08	0x08
SPI	result	1.42285168	0.00000496	0x10	0x00
SPI	result	1.42285696	0.00000512	0x80	0x88
SPI	result	1.42286224	0.00000512	0x22	0x32
SPI	result	1.42312128	0.00000512	0x00	0x00
SPI	result	1.42312656	0.00000512	0x00	0x81
SPI	result	1.42313184	0.00000512	0x00	0x08
SPI	result	1.42313728	0.00000512	0x00	0x04
SPI	result	1.42338864	0.00000496	0x08	0x08
