name	type	start_time	duration	mosi	miso
SPI	result	1.0152456	0.00000512	0x00	0x00
SPI	result	1.01525088	0.00000512	0x00	0x00
SPI	result	1.01525632	0.00000496	0x3F	0x00
SPI	result	1.0152616	0.00000512	0xC6	0x00
SPI	result	1.01607088	0.00000512	0x08	0x08
SPI	result	1.01607632	0.00000496	0x10	0x00
SPI	result	1.0160816	0.00000512	0x80	0xBF
SPI	result	1.01608688	0.00000512	0x22	0xD8
SPI	result	1.01663968	0.00000496	0x00	0x00
SPI	result	1.01664496	0.00000496	0x00	0x00
SPI	result	1.01665024	0.00000512	0x00	0x3F
SPI	result	1.01665552	0.00000512	0x00	0xC6
SPI	result	1.01718864	0.00000496	0x08	0x08
SPI	result	1.01719392	0.00000512	0x00	0x00
SPI	result	1.0171992	0.00000512	0xBF	0x80
SPI	result	1.01720448	0.00000512	0xD8	0x12
SPI	result	1.01775024	0.00000512	0xB8	0x00
SPI	result	1.01775552	0.00000512	0x01	0x00
SPI	result	1.0177608	0.00000512	0x06	0x00
SPI	result	1.01776624	0.00000512	0x26	0x00
SPI	result	1.01851616	0.00000512	0x09	0x08
SPI	result	1.0185216	0.00000496	0x10	0x00
SPI	result	1.01852688	0.00000512	0x80	0x86
SPI	result	1.01853216	0.00000512	0x2A	0x2A
SPI	result	1.01906128	0.00000496	0x00	0xB8
SPI	result	1.01906656	0.00000496	0x00	0x01
SPI	result	1.01907184	0.00000512	0x05	0x06
SPI	result	1.01907712	0.00000512	0x14	0x26
SPI	result	1.01982656	0.00000496	0x0A	0x09
SPI	result	1.01983184	0.00000512	0x00	0x10
SPI	result	1.01983712	0.00000512	0x86	0x85
SPI	result	1.0198424	0.00000512	0x3A	0x3E
SPI	result	1.02037392	0.00000496	0x0A	0x09
SPI	result	1.0203792	0.00000496	0x00	0x00
SPI	result	1.02038448	0.00000512	0x86	0x85
SPI	result	1.02038976	0.00000512	0x3A	0x2E
SPI	result	1.02091952	0.00000496	0x00	0x00
SPI	result	1.0209248	0.00000512	0x00	0x00
SPI	result	1.02093008	0.00000512	0x00	0x05
SPI	result	1.02093536	0.00000512	0x00	0x14
SPI	result	1.02146416	0.00000496	0x08	0x0A
SPI	result	1.02146944	0.00000512	0x00	0x00
SPI	result	1.02147472	0.00000512	0x85	0x80
SPI	result	1.02148016	0.00000496	0x26	0x22
SPI	result	1.02451776	0.00000496	0xFF	0x00
SPI	result	1.02452304	0.00000512	0xFF	0x00
SPI	result	1.02452832	0.00000512	0x00	0x4C
SPI	result	1.02453376	0.00000496	0x00	0x52
SPI	result	1.02453904	0.00000512	0x00	0x31
SPI	result	1.02454432	0.00000512	0x00	0x30
SPI	result	1.0245496	0.00000512	0x00	0x37
SPI	result	1.02455504	0.00000512	0x00	0x41
SPI	result	1.02456032	0.00000512	0x00	0x00
SPI	result	1.0245656	0.00000512	0x00	0x00
SPI	result	1.02457104	0.00000512	0x00	0x46
SPI	result	1.02457632	0.00000512	0x00	0x53
SPI	result	1.0245816	0.00000512	0x00	0x53
SPI	result	1.02458704	0.00000512	0x00	0x47
SPI	result	1.02459232	0.00000512	0x00	0x57
SPI	result	1.0245976	0.00000512	0x00	0x35
SPI	result	1.02460304	0.00000512	0x00	0x30
