Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,1,0
0.001179840,0,0,0
0.001180160,0,1,0
0.001180480,0,0,0
0.001180800,0,1,0
0.001181120,0,0,0
0.001181440,0,1,0
0.001181760,0,0,0
0.001182080,0,1,0
0.001182560,0,0,0
0.001182880,0,1,0
0.001183200,0,0,0
0.001183520,0,1,0
0.001183840,0,0,0
0.001184160,0,1,0
0.001184480,0,0,0
0.001184800,0,1,0
0.001185120,0,0,0
0.001185440,0,1,0
0.001185760,0,0,0
0.001186080,0,1,0
0.001186560,0,0,0
0.001186880,0,1,0
0.001187200,0,0,0
0.001187520,0,1,0
0.001187840,0,0,0
0.001188160,0,1,0
0.001188480,0,0,0
0.001188800,0,1,0
0.001189120,0,0,0
0.001189440,0,1,0
0.001189760,0,0,0
0.001190080,0,1,0
0.001190560,0,0,0
0.001190880,0,1,0
0.001191200,0,0,0
0.001191520,0,1,0
0.001191840,0,0,0
0.001192160,0,1,0
0.001192480,0,0,0
0.001192800,0,1,0
0.001193120,1,0,0
0.001193440,1,1,0
0.001193760,0,0,0
0.001194080,0,1,0
0.001194560,0,0,0
0.001194880,0,1,0
0.001195200,0,0,0
0.001195520,0,1,0
0.001195840,0,0,0
0.001196160,0,1,0
0.001196480,0,0,0
0.001196800,0,1,0
0.001197120,1,0,0
0.001197440,1,1,0
0.001197760,0,0,0
0.001198080,0,1,0
0.001198560,0,0,0
0.001198880,0,1,0
0.001199200,0,0,0
0.001199520,0,1,0
0.001199840,0,0,0
0.001200160,0,1,0
0.001200480,0,0,0
0.001200800,0,1,0
0.001648480,0,0,0
0.001648800,0,1,0
0.001649120,0,0,0
0.001649440,0,1,0
0.001649760,0,0,0
0.001650080,0,1,0
0.001650560,0,0,0
0.001650880,0,1,0
0.001651200,1,0,1
0.001651520,1,1,1
0.001651840,0,0,0
0.001652160,0,1,0
0.001652480,1,0,0
0.001652800,1,1,0
0.001653120,0,0,0
0.001653440,0,1,0
0.001653760,0,0,0
0.001654080,0,1,0
0.001654560,0,0,0
0.001654880,0,1,0
0.001655200,0,0,0
0.001655520,0,1,0
0.001655840,1,0,0
0.001656160,1,1,0
0.001656480,0,0,0
0.001656800,0,1,0
0.001657120,0,0,0
0.001657440,0,1,0
0.001657760,0,0,0
0.001658080,0,1,0
