time_s,delta,position
0.40324816,-1,-1
0.52572592,-3,-4
0.6482456,-3,-7
0.77066064,-3,-10
0.89068304,-5,-15
1.01067536,-4,-19
1.13334704,-5,-24
1.25376544,-5,-29
1.37333312,-2,-31
1.49333888,-1,-32
1.61642064,1,-31
1.73622096,3,-28
1.85828608,4,-24
1.98069712,4,-20
2.10341072,4,-16
2.22327712,4,-12
2.34571152,3,-9
2.46838464,2,-7
2.58817296,2,-5
2.71066528,3,-2
2.83333712,1,-1
3.19706624,-2,-3
3.3182552,-4,-7
3.40070768,-4,-11
3.52331744,-4,-15
3.64332176,-5,-20
3.76326416,-5,-25
3.88327264,-4,-29
4.00569904,-4,-33
4.12847136,-3,-36
4.24830976,-3,-39
4.37070288,-3,-42
4.49070592,-2,-44
4.85337568,2,-42
4.97628,4,-38
5.09827312,3,-35
5.22079008,4,-31
5.34325456,4,-27
5.46331424,5,-22
5.58332272,3,-19
5.7057424,1,-18
5.82819136,4,-14
5.94818176,2,-12
6.0707008,1,-11
