name	type	start_time	duration	mosi	miso
SPI [1]	result	0.00044150	0.00000512	0x00	0xFF
SPI [1]	result	0.00044678	0.00000512	0x00	0xFF
SPI [1]	result	0.00045206	0.00000512	0x3F	0xFF
SPI [1]	result	0.00045734	0.00000512	0xC6	0xFF
SPI [1]	result	0.00130281	0.00000512	0x08	0x00
SPI [1]	result	0.00130809	0.00000512	0x10	0x00
SPI [1]	result	0.00131337	0.00000512	0x80	0x00
SPI [1]	result	0.00131865	0.00000512	0x22	0x00
SPI [1]	result	0.00465717	0.00000512	0x00	0x00
SPI [1]	result	0.00466245	0.00000512	0x00	0x00
SPI [1]	result	0.00466773	0.00000512	0x00	0x00
SPI [1]	result	0.00467301	0.00000512	0x00	0x00
SPI [1]	result	0.00550101	0.00000512	0x08	0x00
SPI [1]	result	0.00550629	0.00000512	0x00	0x00
SPI [1]	result	0.00551157	0.00000512	0xBF	0x00
SPI [1]	result	0.00551685	0.00000512	0xD8	0x00
SPI [1]	result	0.00805485	0.00000512	0xB8	0xC3
SPI [1]	result	0.00806013	0.00000512	0x01	0x3C
SPI [1]	result	0.00806541	0.00000512	0x06	0xA5
SPI [1]	result	0.00807069	0.00000512	0x26	0x5A
SPI [1]	result	0.00885065	0.00000512	0x09	0xC3
SPI [1]	result	0.00885593	0.00000512	0x10	0x3C
SPI [1]	result	0.00886121	0.00000512	0x80	0xA5
SPI [1]	result	0.00886649	0.00000512	0x2A	0x5A
SPI [1]	result	0.00943040	0.00000512	0x00	0x00
SPI [1]	result	0.00943568	0.00000512	0x00	0x00
SPI [1]	result	0.00944096	0.00000512	0x05	0x00
SPI [1]	result	0.00944624	0.00000512	0x14	0x61
SPI [1]	result	0.01021780	0.00000512	0x0A	0x9E
SPI [1]	result	0.01022308	0.00000512	0x00	0x52
SPI [1]	result	0.01022836	0.00000512	0x86	0xAD
SPI [1]	result	0.01023364	0.00000512	0x3A	0x00
SPI [1]	result	0.01080439	0.00000512	0x00	0xC3
SPI [1]	result	0.01080967	0.00000512	0x00	0x3C
SPI [1]	result	0.01081495	0.00000512	0x00	0xA5
SPI [1]	result	0.01082023	0.00000512	0x00	0x5A
SPI [1]	result	0.01136616	0.00000512	0x08	0xC3
SPI [1]	result	0.01137144	0.00000512	0x00	0x3C
SPI [1]	result	0.01137672	0.00000512	0x85	0xA5
SPI [1]	result	0.01138200	0.00000512	0x26	0x5A
SPI [1]	result	0.01445854	0.00000512	0xFF	0xC3
SPI [1]	result	0.01446382	0.00000512	0xFF	0x3C
SPI [1]	result	0.01446910	0.00000512	0x00	0xA5
SPI [1]	result	0.01447438	0.00000512	0x00	0x5A
SPI [1]	result	0.01447966	0.00000512	0x00	0x00
SPI [1]	result	0.01448494	0.00000512	0x00	0x00
SPI [1]	result	0.01449022	0.00000512	0x00	0x00
SPI [1]	result	0.01449550	0.00000512	0x00	0x00
SPI [1]	result	0.01450078	0.00000512	0x00	0x00
SPI [1]	result	0.01450606	0.00000512	0x00	0x00
SPI [1]	result	0.01451134	0.00000512	0x00	0x00
SPI [1]	result	0.01451662	0.00000512	0x00	0x00
SPI [1]	result	0.01452190	0.00000512	0x00	0x00
SPI [1]	result	0.01452718	0.00000512	0x00	0x0C
SPI [1]	result	0.01453246	0.00000512	0x00	0x33
SPI [1]	result	0.01453774	0.00000512	0x00	0xCA
SPI [1]	result	0.01454302	0.00000512	0x00	0x55
SPI [1]	result	0.01454830	0.00000512	0x00	0xA0
SPI [1]	result	0.01455358	0.00000512	0x00	0x00
