name	type	start_time	duration	mosi	miso
SPI [1]	result	0.00052900	0.00000512	0x00	0x00
SPI [1]	result	0.00053428	0.00000512	0x00	0x00
SPI [1]	result	0.00053956	0.00000512	0x3F	0x00
SPI [1]	result	0.00054484	0.00000512	0xC6	0x00
SPI [1]	result	0.00138943	0.00000512	0x08	0x08
SPI [1]	result	0.00139471	0.00000512	0x10	0x00
SPI [1]	result	0.00139999	0.00000512	0x80	0xBF
SPI [1]	result	0.00140527	0.00000512	0x22	0xD8
SPI [1]	result	0.00493400	0.00000512	0x00	0x00
SPI [1]	result	0.00493928	0.00000512	0x00	0x00
SPI [1]	result	0.00494456	0.00000512	0x00	0x3F
SPI [1]	result	0.00494984	0.00000512	0x00	0xC6
SPI [1]	result	0.00558796	0.00000512	0x08	0x08
SPI [1]	result	0.00559324	0.00000512	0x00	0x00
SPI [1]	result	0.00559852	0.00000512	0xBF	0x80
SPI [1]	result	0.00560380	0.00000512	0xD8	0x12
SPI [1]	result	0.00814366	0.00000512	0xB8	0x00
SPI [1]	result	0.00814894	0.00000512	0x01	0x00
SPI [1]	result	0.00815422	0.00000512	0x06	0x00
SPI [1]	result	0.00815950	0.00000512	0x26	0x00
SPI [1]	result	0.00903033	0.00000512	0x09	0x08
SPI [1]	result	0.00903561	0.00000512	0x10	0x00
SPI [1]	result	0.00904089	0.00000512	0x80	0x86
SPI [1]	result	0.00904617	0.00000512	0x2A	0x2A
SPI [1]	result	0.00951748	0.00000512	0x00	0xB8
SPI [1]	result	0.00952276	0.00000512	0x00	0x01
SPI [1]	result	0.00952804	0.00000512	0x05	0x06
SPI [1]	result	0.00953332	0.00000512	0x14	0x26
SPI [1]	result	0.01030469	0.00000512	0x0A	0x09
SPI [1]	result	0.01030997	0.00000512	0x00	0x00
SPI [1]	result	0.01031525	0.00000512	0x86	0x85
SPI [1]	result	0.01032053	0.00000512	0x3A	0x2E
SPI [1]	result	0.01089121	0.00000512	0x00	0x00
SPI [1]	result	0.01089649	0.00000512	0x00	0x00
SPI [1]	result	0.01090177	0.00000512	0x00	0x05
SPI [1]	result	0.01090705	0.00000512	0x00	0x14
SPI [1]	result	0.01145303	0.00000512	0x08	0x0A
SPI [1]	result	0.01145831	0.00000512	0x00	0x00
SPI [1]	result	0.01146359	0.00000512	0x85	0x80
SPI [1]	result	0.01146887	0.00000512	0x26	0x22
SPI [1]	result	0.01454515	0.00000512	0xFF	0x00
SPI [1]	result	0.01455043	0.00000512	0xFF	0x00
SPI [1]	result	0.01455571	0.00000512	0x00	0x4C
SPI [1]	result	0.01456099	0.00000512	0x00	0x52
SPI [1]	result	0.01456627	0.00000512	0x00	0x31
SPI [1]	result	0.01457155	0.00000512	0x00	0x30
SPI [1]	result	0.01457683	0.00000512	0x00	0x37
SPI [1]	result	0.01458211	0.00000512	0x00	0x41
SPI [1]	result	0.01458739	0.00000512	0x00	0x00
SPI [1]	result	0.01459267	0.00000512	0x00	0x00
SPI [1]	result	0.01459795	0.00000512	0x00	0x46
SPI [1]	result	0.01460323	0.00000512	0x00	0x53
SPI [1]	result	0.01460851	0.00000512	0x00	0x53
SPI [1]	result	0.01461379	0.00000512	0x00	0x47
SPI [1]	result	0.01461907	0.00000512	0x00	0x57
SPI [1]	result	0.01462435	0.00000512	0x00	0x35
SPI [1]	result	0.01462963	0.00000512	0x00	0x30
