name	type	start_time	duration	mosi	miso
SPI [1]	result	0.00051763	0.00000512	0x00	0x00
SPI [1]	result	0.00052291	0.00000512	0x00	0x00
SPI [1]	result	0.00052819	0.00000512	0x3F	0x00
SPI [1]	result	0.00053347	0.00000512	0xC6	0x00
SPI [1]	result	0.00137773	0.00000512	0x08	0x08
SPI [1]	result	0.00138301	0.00000512	0x10	0x00
SPI [1]	result	0.00138829	0.00000512	0x80	0xBF
SPI [1]	result	0.00139357	0.00000512	0x22	0xD8
SPI [1]	result	0.00473587	0.00000512	0x00	0x00
SPI [1]	result	0.00474115	0.00000512	0x00	0x00
SPI [1]	result	0.00474643	0.00000512	0x00	0x3F
SPI [1]	result	0.00475171	0.00000512	0x00	0xC6
SPI [1]	result	0.00557654	0.00000512	0x08	0x08
SPI [1]	result	0.00558182	0.00000512	0x00	0x00
SPI [1]	result	0.00558710	0.00000512	0xBF	0x80
SPI [1]	result	0.00559238	0.00000512	0xD8	0x12
SPI [1]	result	0.00813023	0.00000512	0xB8	0x00
SPI [1]	result	0.00813551	0.00000512	0x01	0x00
SPI [1]	result	0.00814079	0.00000512	0x06	0x00
SPI [1]	result	0.00814607	0.00000512	0x26	0x00
SPI [1]	result	0.00892574	0.00000512	0x09	0x08
SPI [1]	result	0.00893102	0.00000512	0x10	0x00
SPI [1]	result	0.00893630	0.00000512	0x80	0x86
SPI [1]	result	0.00894158	0.00000512	0x2A	0x2A
SPI [1]	result	0.00950567	0.00000512	0x00	0xB8
SPI [1]	result	0.00951095	0.00000512	0x00	0x01
SPI [1]	result	0.00951623	0.00000512	0x05	0x06
SPI [1]	result	0.00952151	0.00000512	0x14	0x26
SPI [1]	result	0.01029258	0.00000512	0x0A	0x09
SPI [1]	result	0.01029786	0.00000512	0x00	0x00
SPI [1]	result	0.01030314	0.00000512	0x86	0x85
SPI [1]	result	0.01030842	0.00000512	0x3A	0x2E
SPI [1]	result	0.01087962	0.00000512	0x00	0x00
SPI [1]	result	0.01088490	0.00000512	0x00	0x00
SPI [1]	result	0.01089018	0.00000512	0x00	0x05
SPI [1]	result	0.01089546	0.00000512	0x00	0x14
SPI [1]	result	0.01144213	0.00000512	0x08	0x0A
SPI [1]	result	0.01144741	0.00000512	0x00	0x00
SPI [1]	result	0.01145269	0.00000512	0x85	0x80
SPI [1]	result	0.01145797	0.00000512	0x26	0x22
SPI [1]	result	0.01453347	0.00000512	0xFF	0x00
SPI [1]	result	0.01453875	0.00000512	0xFF	0x00
SPI [1]	result	0.01454403	0.00000512	0x00	0x4C
SPI [1]	result	0.01454931	0.00000512	0x00	0x52
SPI [1]	result	0.01455459	0.00000512	0x00	0x31
SPI [1]	result	0.01455987	0.00000512	0x00	0x30
SPI [1]	result	0.01456515	0.00000512	0x00	0x37
SPI [1]	result	0.01457043	0.00000512	0x00	0x41
SPI [1]	result	0.01457571	0.00000512	0x00	0x00
SPI [1]	result	0.01458099	0.00000512	0x00	0x00
SPI [1]	result	0.01458627	0.00000512	0x00	0x46
SPI [1]	result	0.01459155	0.00000512	0x00	0x53
SPI [1]	result	0.01459683	0.00000512	0x00	0x53
SPI [1]	result	0.01460211	0.00000512	0x00	0x47
SPI [1]	result	0.01460739	0.00000512	0x00	0x57
SPI [1]	result	0.01461267	0.00000512	0x00	0x35
SPI [1]	result	0.01461795	0.00000512	0x00	0x30
SPI [1]	result	0.01462323	0.00000512	0x00	0x37
SPI [1]	result	0.01462851	0.00000512	0x00	0x47
SPI [1]	result	0.01463379	0.00000512	0x00	0x46
SPI [1]	result	0.01463907	0.00000512	0x00	0x32
SPI [1]	result	0.01464435	0.00000512	0x00	0x35
SPI [1]	result	0.01464963	0.00000512	0x00	0x30
SPI [1]	result	0.01465491	0.00000512	0x00	0x6D
