name	type	start_time	duration	mosi	miso
SPI [1]	result	0.00031085	0.00000512	0x00	0xFF
SPI [1]	result	0.00031613	0.00000512	0x00	0xFF
SPI [1]	result	0.00032141	0.00000512	0x3F	0xFF
SPI [1]	result	0.00032669	0.00000512	0xC6	0xFF
SPI [1]	result	0.00117004	0.00000512	0x08	0xFF
SPI [1]	result	0.00117532	0.00000512	0x10	0xFF
SPI [1]	result	0.00118060	0.00000512	0x80	0xFF
SPI [1]	result	0.00118588	0.00000512	0x22	0xFF
SPI [1]	result	0.00452290	0.00000512	0x00	0xFF
SPI [1]	result	0.00452818	0.00000512	0x00	0xFF
SPI [1]	result	0.00453346	0.00000512	0x00	0xFF
SPI [1]	result	0.00453874	0.00000512	0x00	0xFF
SPI [1]	result	0.00537018	0.00000512	0x08	0xFF
SPI [1]	result	0.00537546	0.00000512	0x00	0xFF
SPI [1]	result	0.00538074	0.00000512	0xBF	0xFF
SPI [1]	result	0.00538602	0.00000512	0xD8	0xFF
SPI [1]	result	0.00792097	0.00000512	0xB8	0x00
SPI [1]	result	0.00792625	0.00000512	0x01	0x00
SPI [1]	result	0.00793153	0.00000512	0x06	0x00
SPI [1]	result	0.00793681	0.00000512	0x26	0x00
SPI [1]	result	0.00871870	0.00000512	0x09	0x00
SPI [1]	result	0.00872398	0.00000512	0x10	0x00
SPI [1]	result	0.00872926	0.00000512	0x80	0x00
SPI [1]	result	0.00873454	0.00000512	0x2A	0x00
SPI [1]	result	0.00929811	0.00000512	0x00	0x08
SPI [1]	result	0.00930339	0.00000512	0x00	0x10
SPI [1]	result	0.00930867	0.00000512	0x05	0x86
SPI [1]	result	0.00931395	0.00000512	0x14	0x3A
SPI [1]	result	0.01008578	0.00000512	0x0A	0x00
SPI [1]	result	0.01009106	0.00000512	0x00	0x00
SPI [1]	result	0.01009634	0.00000512	0x86	0x03
SPI [1]	result	0.01010162	0.00000512	0x3A	0xD0
SPI [1]	result	0.01067190	0.00000512	0x00	0xC3
SPI [1]	result	0.01067718	0.00000512	0x00	0x3C
SPI [1]	result	0.01068246	0.00000512	0x00	0xA5
SPI [1]	result	0.01068774	0.00000512	0x00	0x5A
SPI [1]	result	0.01123390	0.00000512	0x08	0xC3
SPI [1]	result	0.01123918	0.00000512	0x00	0x3C
SPI [1]	result	0.01124446	0.00000512	0x85	0xA5
SPI [1]	result	0.01124974	0.00000512	0x26	0x5A
SPI [1]	result	0.01432579	0.00000512	0xFF	0xC3
SPI [1]	result	0.01433107	0.00000512	0xFF	0x3C
SPI [1]	result	0.01433635	0.00000512	0x00	0xA5
SPI [1]	result	0.01434163	0.00000512	0x00	0x5A
SPI [1]	result	0.01434691	0.00000512	0x00	0x00
SPI [1]	result	0.01435219	0.00000512	0x00	0x00
SPI [1]	result	0.01435747	0.00000512	0x00	0x00
SPI [1]	result	0.01436275	0.00000512	0x00	0x00
SPI [1]	result	0.01436803	0.00000512	0x00	0x00
SPI [1]	result	0.01437331	0.00000512	0x00	0x00
SPI [1]	result	0.01437859	0.00000512	0x00	0x00
SPI [1]	result	0.01438387	0.00000512	0x00	0x00
SPI [1]	result	0.01438915	0.00000512	0x00	0x00
SPI [1]	result	0.01439443	0.00000512	0x00	0x0C
SPI [1]	result	0.01439971	0.00000512	0x00	0x33
SPI [1]	result	0.01440499	0.00000512	0x00	0xCA
SPI [1]	result	0.01441027	0.00000512	0x00	0x55
SPI [1]	result	0.01441555	0.00000512	0x00	0xA0
SPI [1]	result	0.01442083	0.00000512	0x00	0x00
SPI [1]	result	0.01442611	0.00000512	0x00	0x00
SPI [1]	result	0.01443139	0.00000512	0x00	0x00
SPI [1]	result	0.01443667	0.00000512	0x00	0x00
SPI [1]	result	0.01444195	0.00000512	0x00	0x00
SPI [1]	result	0.01444723	0.00000512	0x00	0x00
SPI [1]	result	0.01445251	0.00000512	0x00	0x00
SPI [1]	result	0.01445779	0.00000512	0x00	0x00
SPI [1]	result	0.01446307	0.00000512	0x00	0x00
SPI [1]	result	0.01446835	0.00000512	0x00	0xC3
SPI [1]	result	0.01447363	0.00000512	0x00	0x3C
SPI [1]	result	0.01447891	0.00000512	0x00	0xA5
SPI [1]	result	0.01448419	0.00000512	0x00	0x5A
SPI [1]	result	0.01448947	0.00000512	0x00	0x00
SPI [1]	result	0.01449475	0.00000512	0x00	0x00
SPI [1]	result	0.01450003	0.00000512	0x00	0x00
SPI [1]	result	0.01450531	0.00000512	0x00	0x00
SPI [1]	result	0.01451059	0.00000512	0x00	0x00
SPI [1]	result	0.01451587	0.00000512	0x00	0x00
SPI [1]	result	0.01452115	0.00000512	0x00	0x00
SPI [1]	result	0.01452643	0.00000512	0x00	0x00
SPI [1]	result	0.01453171	0.00000512	0x00	0x00
SPI [1]	result	0.01453699	0.00000512	0x00	0x0C
SPI [1]	result	0.01454227	0.00000512	0x00	0x33
SPI [1]	result	0.01454755	0.00000512	0x00	0xCA
SPI [1]	result	0.01455283	0.00000512	0x00	0x55
SPI [1]	result	0.01455811	0.00000512	0x00	0xA0
SPI [1]	result	0.01456339	0.00000512	0x00	0x00
SPI [1]	result	0.01456867	0.00000512	0x00	0x00
SPI [1]	result	0.01457395	0.00000512	0x00	0x00
SPI [1]	result	0.01457923	0.00000512	0x00	0x00
SPI [1]	result	0.01458451	0.00000512	0x00	0x00
SPI [1]	result	0.01458979	0.00000512	0x00	0x00
SPI [1]	result	0.01459507	0.00000512	0x00	0x00
SPI [1]	result	0.01460035	0.00000512	0x00	0x00
SPI [1]	result	0.01460563	0.00000512	0x00	0x00
SPI [1]	result	0.01461091	0.00000512	0x00	0xC3
SPI [1]	result	0.01461619	0.00000512	0x00	0x3C
SPI [1]	result	0.01462147	0.00000512	0x00	0xA5
SPI [1]	result	0.01462675	0.00000512	0x00	0x5A
SPI [1]	result	0.01463203	0.00000512	0x00	0x00
SPI [1]	result	0.01463731	0.00000512	0x00	0x00
SPI [1]	result	0.01464259	0.00000512	0x00	0x00
SPI [1]	result	0.01464787	0.00000512	0x00	0x00
SPI [1]	result	0.01465315	0.00000512	0x00	0x00
SPI [1]	result	0.01465843	0.00000512	0x00	0x00
SPI [1]	result	0.01466371	0.00000512	0x00	0x00
SPI [1]	result	0.01466899	0.00000512	0x00	0x00
SPI [1]	result	0.01467427	0.00000512	0x00	0x00
SPI [1]	result	0.01467955	0.00000512	0x00	0x0C
SPI [1]	result	0.01468483	0.00000512	0x00	0x33
SPI [1]	result	0.01469011	0.00000512	0x00	0xCA
SPI [1]	result	0.01469539	0.00000512	0x00	0x55
SPI [1]	result	0.01470067	0.00000512	0x00	0xA0
SPI [1]	result	0.01470595	0.00000512	0x00	0x00
SPI [1]	result	0.01471123	0.00000512	0x00	0x00
SPI [1]	result	0.01471651	0.00000512	0x00	0x00
SPI [1]	result	0.01472179	0.00000512	0x00	0x00
SPI [1]	result	0.01472707	0.00000512	0x00	0x00
SPI [1]	result	0.01473235	0.00000512	0x00	0x00
SPI [1]	result	0.01473763	0.00000512	0x00	0x00
SPI [1]	result	0.01474291	0.00000512	0x00	0x00
SPI [1]	result	0.01474819	0.00000512	0x00	0x00
SPI [1]	result	0.01475347	0.00000512	0x00	0xC3
SPI [1]	result	0.01475875	0.00000512	0x00	0x3C
SPI [1]	result	0.01476403	0.00000512	0x00	0xA5
SPI [1]	result	0.01476931	0.00000512	0x00	0x5A
SPI [1]	result	0.01477459	0.00000512	0x00	0x00
SPI [1]	result	0.01477987	0.00000512	0x00	0x00
SPI [1]	result	0.01478515	0.00000512	0x00	0x00
SPI [1]	result	0.01479043	0.00000512	0x00	0x00
SPI [1]	result	0.01479571	0.00000512	0x00	0x00
SPI [1]	result	0.01480099	0.00000512	0x00	0x00
SPI [1]	result	0.01480627	0.00000512	0x00	0x00
SPI [1]	result	0.01481155	0.00000512	0x00	0x00
SPI [1]	result	0.01481683	0.00000512	0x00	0x00
SPI [1]	result	0.01482211	0.00000512	0x00	0x0C
SPI [1]	result	0.01482739	0.00000512	0x00	0x33
SPI [1]	result	0.01483267	0.00000512	0x00	0xCA
SPI [1]	result	0.01483795	0.00000512	0x00	0x55
SPI [1]	result	0.01484323	0.00000512	0x00	0xA0
SPI [1]	result	0.01484851	0.00000512	0x00	0x00
SPI [1]	result	0.01485379	0.00000512	0x00	0x00
SPI [1]	result	0.01485907	0.00000512	0x00	0x00
SPI [1]	result	0.01486435	0.00000512	0x00	0x00
SPI [1]	result	0.01486963	0.00000512	0x00	0x00
SPI [1]	result	0.01487491	0.00000512	0x00	0x00
SPI [1]	result	0.01488019	0.00000512	0x00	0x00
SPI [1]	result	0.01488547	0.00000512	0x00	0x00
SPI [1]	result	0.01489075	0.00000512	0x00	0x00
SPI [1]	result	0.01489603	0.00000512	0x00	0xC3
SPI [1]	result	0.01490131	0.00000512	0x00	0x3C
SPI [1]	result	0.01490659	0.00000512	0x00	0xA5
SPI [1]	result	0.01491187	0.00000512	0x00	0x5A
SPI [1]	result	0.01491715	0.00000512	0x00	0x00
SPI [1]	result	0.01492243	0.00000512	0x00	0x00
SPI [1]	result	0.01492771	0.00000512	0x00	0x00
SPI [1]	result	0.01493299	0.00000512	0x00	0x00
SPI [1]	result	0.01493827	0.00000512	0x00	0x00
SPI [1]	result	0.01494355	0.00000512	0x00	0x00
SPI [1]	result	0.01494883	0.00000512	0x00	0x00
SPI [1]	result	0.01495411	0.00000512	0x00	0x00
SPI [1]	result	0.01495939	0.00000512	0x00	0x00
SPI [1]	result	0.01496467	0.00000512	0x00	0x0C
SPI [1]	result	0.01496995	0.00000512	0x00	0x33
SPI [1]	result	0.01497523	0.00000512	0x00	0xCA
SPI [1]	result	0.01498051	0.00000512	0x00	0x55
SPI [1]	result	0.01498579	0.00000512	0x00	0xA0
SPI [1]	result	0.01499107	0.00000512	0x00	0x00
SPI [1]	result	0.01499635	0.00000512	0x00	0x00
SPI [1]	result	0.01500163	0.00000512	0x00	0x00
SPI [1]	result	0.01500691	0.00000512	0x00	0x00
SPI [1]	result	0.01501219	0.00000512	0x5A	0x00
SPI [1]	result	0.01814200	0.00000512	0xFF	0xC3
SPI [1]	result	0.01814728	0.00000512	0x00	0x3C
SPI [1]	result	0.01815256	0.00000512	0x00	0xA5
SPI [1]	result	0.01815784	0.00000512	0x00	0x5A
SPI [1]	result	0.01816312	0.00000512	0x00	0x00
SPI [1]	result	0.01816840	0.00000512	0x00	0x00
SPI [1]	result	0.01817368	0.00000512	0x00	0x00
SPI [1]	result	0.01817896	0.00000512	0x00	0x00
SPI [1]	result	0.01818424	0.00000512	0x00	0x00
SPI [1]	result	0.01818952	0.00000512	0x00	0x00
SPI [1]	result	0.01819480	0.00000512	0x00	0x00
SPI [1]	result	0.01820008	0.00000512	0x00	0x00
SPI [1]	result	0.01820536	0.00000512	0x00	0x00
SPI [1]	result	0.01821064	0.00000512	0x00	0x0C
SPI [1]	result	0.01821592	0.00000512	0x00	0x33
SPI [1]	result	0.01822120	0.00000512	0x00	0xCA
SPI [1]	result	0.01822648	0.00000512	0x00	0x55
SPI [1]	result	0.01823176	0.00000512	0x00	0xA0
SPI [1]	result	0.01823704	0.00000512	0x00	0x00
SPI [1]	result	0.01824232	0.00000512	0x00	0x00
SPI [1]	result	0.01824760	0.00000512	0x00	0x00
SPI [1]	result	0.01825288	0.00000512	0x00	0x00
SPI [1]	result	0.01825816	0.00000512	0x00	0x00
SPI [1]	result	0.01826344	0.00000512	0x00	0x00
SPI [1]	result	0.01826872	0.00000512	0x00	0x00
SPI [1]	result	0.01827400	0.00000512	0x00	0x00
SPI [1]	result	0.01827928	0.00000512	0x00	0x00
SPI [1]	result	0.01828456	0.00000512	0x00	0xC3
SPI [1]	result	0.01828984	0.00000512	0x00	0x3C
SPI [1]	result	0.01829512	0.00000512	0x00	0xA5
SPI [1]	result	0.01830040	0.00000512	0x00	0x5A
SPI [1]	result	0.01830568	0.00000512	0x00	0x00
SPI [1]	result	0.01831096	0.00000512	0x00	0x00
SPI [1]	result	0.01831624	0.00000512	0x00	0x00
SPI [1]	result	0.01832152	0.00000512	0x00	0x00
SPI [1]	result	0.01832680	0.00000512	0x00	0x00
SPI [1]	result	0.01833208	0.00000512	0x00	0x00
SPI [1]	result	0.01833736	0.00000512	0x00	0x00
SPI [1]	result	0.01834264	0.00000512	0x00	0x00
SPI [1]	result	0.01834792	0.00000512	0x00	0x00
SPI [1]	result	0.01835320	0.00000512	0x00	0x0C
