Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
1.017965280,0,1,0
1.066922080,0,1,1
1.066979520,0,1,0
1.067037120,0,1,1
1.067043840,0,1,0
1.067050240,0,1,1
1.067056640,0,1,0
1.067101440,0,1,1
1.067108320,0,1,0
1.067114720,0,1,1
1.071365920,0,1,0
1.071423520,0,1,1
1.071430240,0,1,0
1.071436640,0,1,1
1.071443040,0,1,0
1.071487840,0,1,1
1.071494720,0,1,0
1.071501120,0,1,1
1.102193120,0,1,0
1.102250720,0,1,1
1.102257440,0,1,0
1.102263840,0,1,1
1.102270240,0,1,0
1.102315040,0,1,1
1.102321920,0,1,0
1.102328320,0,1,1
1.117207200,0,1,0
1.117264800,0,1,1
1.117271520,0,1,0
1.117284320,0,1,1
1.117297120,0,1,0
1.117329120,0,1,1
1.117336000,0,1,0
1.117348800,0,1,1
1.117355200,0,1,0
1.117361600,0,1,1
1.134681120,0,1,0
1.134738720,0,1,1
1.134745600,0,1,0
1.134758400,0,1,1
1.134771200,0,1,0
1.134803200,0,1,1
1.134809920,0,1,0
1.134822720,0,1,1
1.134829120,0,1,0
1.134835520,0,1,1
1.149682400,0,1,0
1.149715520,0,1,1
1.149758400,0,1,0
1.154687520,0,1,1
1.175414400,0,0,0
1.175414720,0,1,0
1.175415040,0,0,0
1.175415360,0,1,0
1.175415680,0,0,0
1.175416000,0,1,0
1.175416320,0,0,0
1.175416640,0,1,0
1.175416960,0,0,0
1.175417280,0,1,0
1.175417600,0,0,0
1.175418080,0,1,0
1.175418400,0,0,0
1.175418720,0,1,0
1.175419040,0,0,0
1.175419360,0,1,0
1.175419680,0,0,0
1.175420000,0,1,0
1.175420320,0,0,0
1.175420640,0,1,0
1.175420960,0,0,0
1.175421280,0,1,0
1.175421600,0,0,0
1.175422080,0,1,0
1.175422400,0,0,0
1.175422720,0,1,0
1.175423040,0,0,0
1.175423360,0,1,0
1.175423680,0,0,0
1.175424000,0,1,0
1.175424320,0,0,0
1.175424640,0,1,0
1.175424960,0,0,0
1.175425280,0,1,0
1.175425600,0,0,0
1.175426080,0,1,0
1.175426400,1,0,0
1.175426720,1,1,0
1.175427040,1,0,0
1.175427360,1,1,0
1.175427680,1,0,0
1.175428000,1,1,0
1.175428320,1,0,0
1.175428640,1,1,0
1.175428960,1,0,0
1.175429280,1,1,0
1.175429600,1,0,0
1.175430080,1,1,0
1.175430400,1,0,0
1.175430720,1,1,0
1.175431040,1,0,0
1.175431360,1,1,0
1.175431680,0,0,0
1.175432000,0,1,0
1.175432320,0,0,0
1.175432640,0,1,0
1.175432960,0,0,0
1.175433280,0,1,0
1.175433600,1,0,0
1.175434080,1,1,0
1.175434400,1,0,0
1.175434720,1,1,0
1.175435040,0,0,0
1.175435360,0,1,0
1.176272320,0,0,0
1.176272640,0,1,0
1.176272960,0,0,0
1.176273280,0,1,0
1.176273600,0,0,0
1.176273920,0,1,0
1.176274400,0,0,0
1.176274720,0,1,0
1.176275040,1,0,1
1.176275360,1,1,1
1.176275680,0,0,0
1.176276000,0,1,0
1.176276320,0,0,0
1.176276640,0,1,0
1.176276960,0,0,0
1.176277280,0,1,0
1.176277600,0,0,0
1.176278080,0,1,0
1.176278400,0,0,0
1.176278720,0,1,0
1.176279040,0,0,0
1.176279360,0,1,0
1.176279680,1,0,0
1.176280000,1,1,0
1.176280320,0,0,0
1.176280640,0,1,0
1.176280960,0,0,0
1.176281280,0,1,0
1.176281600,0,0,0
1.176282080,0,1,0
1.176282400,0,0,0
1.176282720,0,1,0
1.176283040,1,0,1
1.176283360,1,1,1
1.176283680,0,0,0
1.176284000,0,1,0
1.176284320,0,0,1
1.176284640,0,1,1
1.176284960,0,0,1
1.176285280,0,1,1
1.176285600,0,0,1
1.176286080,0,1,1
1.176286400,0,0,1
1.176286720,0,1,1
1.176287040,0,0,1
1.176287360,0,1,1
1.176287680,0,0,1
1.176288000,0,1,1
1.176288320,0,0,1
1.176288640,0,1,1
1.176288960,0,0,1
1.176289280,0,1,1
1.176289600,1,0,1
1.176289760,1,0,0
1.176290080,1,1,0
1.176290400,0,0,1
1.176290720,0,1,1
1.176291040,0,0,1
1.176291360,0,1,1
1.176291680,0,0,0
1.176292000,0,1,0
1.176292320,1,0,0
1.176292640,1,1,0
1.176292960,0,0,0
1.176293280,0,1,0
1.177770400,0,0,0
1.177770720,0,1,0
1.177771040,0,0,0
1.177771360,0,1,0
1.177771680,0,0,0
1.177772000,0,1,0
1.177772320,0,0,0
1.177772640,0,1,0
1.177772960,0,0,0
1.177773280,0,1,0
1.177773600,0,0,0
1.177773920,0,1,0
1.177774400,0,0,0
1.177774720,0,1,0
1.177775040,0,0,0
1.177775360,0,1,0
1.177775680,0,0,0
1.177776000,0,1,0
1.177776320,0,0,0
1.177776640,0,1,0
1.177776960,0,0,0
1.177777280,0,1,0
1.177777600,0,0,0
1.177777920,0,1,0
1.177778400,0,0,0
1.177778720,0,1,0
1.177779040,0,0,0
1.177779360,0,1,0
1.177779680,0,0,0
1.177780000,0,1,0
1.177780320,0,0,0
1.177780640,0,1,0
1.177780960,0,0,0
1.177781280,0,1,0
1.177781600,0,0,0
1.177781920,0,1,0
1.177782400,0,0,1
1.177782720,0,1,1
1.177783040,0,0,1
1.177783360,0,1,1
1.177783680,0,0,1
1.177784000,0,1,1
1.177784320,0,0,1
1.177784640,0,1,1
1.177784960,0,0,1
1.177785280,0,1,1
1.177785600,0,0,1
1.177785920,0,1,1
1.177786400,0,0,1
1.177786720,0,1,1
1.177787040,0,0,1
1.177787360,0,1,1
1.177787680,0,0,0
1.177788000,0,1,0
1.177788320,0,0,0
1.177788640,0,1,0
1.177788960,0,0,0
1.177789280,0,1,0
1.177789600,0,0,0
1.177789760,0,0,1
1.177789920,0,1,1
1.177790400,0,0,1
1.177790720,0,1,1
1.177791040,0,0,0
1.177791360,0,1,0
1.178624320,0,0,0
1.178624640,0,1,0
1.178624960,0,0,0
1.178625280,0,1,0
1.178625600,0,0,0
1.178625920,0,1,0
1.178626400,0,0,0
1.178626720,0,1,0
1.178627040,1,0,1
1.178627360,1,1,1
1.178627680,0,0,0
1.178628000,0,1,0
1.178628320,0,0,0
1.178628640,0,1,0
1.178628960,0,0,0
1.178629280,0,1,0
1.178629600,0,0,0
1.178629920,0,1,0
1.178630400,0,0,0
1.178630720,0,1,0
1.178631040,0,0,0
1.178631360,0,1,0
1.178631680,0,0,0
1.178632000,0,1,0
1.178632320,0,0,0
1.178632640,0,1,0
1.178632960,0,0,0
1.178633280,0,1,0
1.178633600,0,0,0
1.178633920,0,1,0
1.178634400,0,0,0
1.178634720,0,1,0
1.178635040,1,0,1
1.178635360,1,1,1
1.178635680,0,0,0
1.178636000,0,1,0
1.178636320,1,0,0
1.178636640,1,1,0
1.178636960,1,0,0
1.178637280,1,1,0
1.178637600,1,0,0
1.178637920,1,1,0
1.178638400,1,0,0
1.178638720,1,1,0
1.178639040,1,0,0
1.178639360,1,1,0
1.178639680,1,0,0
1.178640000,1,1,0
1.178640320,1,0,0
1.178640640,1,1,0
1.178640960,1,0,0
1.178641280,1,1,0
1.178641600,0,0,0
1.178641920,0,1,0
1.178642400,1,0,1
1.178642720,1,1,1
1.178643040,1,0,0
1.178643360,1,1,0
1.178643680,0,0,0
1.178644000,0,1,0
1.178644320,0,0,1
1.178644640,0,1,1
1.178644960,0,0,0
1.178645280,0,1,0
1.180343040,1,0,0
1.180343360,1,1,0
1.180343680,0,0,0
1.180344000,0,1,0
1.180344320,1,0,0
1.180344640,1,1,0
1.180344960,1,0,0
1.180345280,1,1,0
1.180345600,1,0,0
1.180345920,1,1,0
1.180346400,0,0,0
1.180346720,0,1,0
1.180347040,0,0,0
1.180347360,0,1,0
1.180347680,0,0,0
1.180348000,0,1,0
1.180348320,0,0,0
1.180348640,0,1,0
1.180348960,0,0,0
1.180349280,0,1,0
1.180349600,0,0,0
1.180349920,0,1,0
1.180350400,0,0,0
1.180350720,0,1,0
1.180351040,0,0,0
1.180351360,0,1,0
1.180351680,0,0,0
1.180352000,0,1,0
1.180352320,0,0,0
1.180352640,0,1,0
1.180352960,1,0,0
1.180353280,1,1,0
1.180353600,0,0,0
1.180353920,0,1,0
1.180354400,0,0,0
1.180354720,0,1,0
1.180355040,0,0,0
1.180355360,0,1,0
1.180355680,0,0,0
1.180356000,0,1,0
1.180356320,0,0,0
1.180356640,0,1,0
1.180356960,1,0,0
1.180357280,1,1,0
1.180357600,1,0,0
1.180357920,1,1,0
1.180358400,0,0,0
1.180358720,0,1,0
1.180359040,0,0,0
1.180359360,0,1,0
1.180359680,0,0,0
1.180360000,0,1,0
1.180360320,1,0,0
1.180360640,1,1,0
1.180360960,0,0,0
1.180361280,0,1,0
1.180361600,0,0,0
1.180361920,0,1,0
1.180362400,1,0,0
1.180362720,1,1,0
1.180363040,1,0,0
1.180363360,1,1,0
1.180363680,0,0,0
1.180364000,0,1,0
1.181138400,0,0,0
1.181138720,0,1,0
1.181139040,0,0,0
1.181139360,0,1,0
1.181139680,0,0,0
1.181140000,0,1,0
1.181140320,0,0,0
1.181140640,0,1,0
1.181140960,1,0,1
1.181141280,1,1,1
1.181141600,0,0,0
1.181141920,0,1,0
1.181142400,0,0,0
1.181142720,0,1,0
1.181143040,1,0,0
1.181143360,1,1,0
1.181143680,0,0,0
1.181144000,0,1,0
1.181144320,0,0,0
1.181144640,0,1,0
1.181144960,0,0,0
1.181145280,0,1,0
1.181145600,1,0,0
1.181145920,1,1,0
1.181146400,0,0,0
1.181146720,0,1,0
1.181147040,0,0,0
1.181147360,0,1,0
1.181147680,0,0,0
1.181148000,0,1,0
1.181148320,0,0,0
1.181148640,0,1,0
1.181148960,1,0,1
1.181149280,1,1,1
1.181149600,0,0,0
1.181149920,0,1,0
1.181150400,0,0,0
1.181150720,0,1,0
1.181151040,0,0,0
1.181151360,0,1,0
1.181151680,0,0,0
1.181152000,0,1,0
1.181152320,0,0,1
1.181152640,0,1,1
1.181152960,0,0,1
1.181153280,0,1,1
1.181153600,0,0,0
1.181153920,0,1,0
1.181154400,0,0,0
1.181154720,0,1,0
1.181155040,0,0,0
1.181155360,0,1,0
1.181155680,1,0,1
1.181156000,1,1,1
1.181156320,0,0,0
1.181156640,0,1,0
1.181156960,1,0,1
1.181157280,1,1,1
1.181157600,0,0,0
1.181157920,0,1,0
1.181158400,1,0,1
1.181158720,1,1,1
1.181159040,0,0,0
1.181159360,0,1,0
1.181718400,0,0,1
1.181718720,0,1,1
1.181719040,0,0,0
1.181719360,0,1,0
1.181719680,0,0,1
1.181720000,0,1,1
1.181720320,0,0,1
1.181720640,0,1,1
1.181720960,0,0,1
1.181721280,0,1,1
1.181721600,0,0,0
1.181721920,0,1,0
1.181722400,0,0,0
1.181722720,0,1,0
1.181723040,0,0,0
1.181723360,0,1,0
1.181723680,0,0,0
1.181724000,0,1,0
1.181724320,0,0,0
1.181724640,0,1,0
1.181724960,0,0,0
1.181725280,0,1,0
1.181725600,0,0,0
1.181725920,0,1,0
1.181726400,0,0,0
1.181726720,0,1,0
1.181727040,0,0,0
1.181727360,0,1,0
1.181727680,0,0,0
1.181728000,0,1,0
1.181728320,0,0,1
1.181728640,0,1,1
1.181728960,0,0,0
1.181729280,0,1,0
1.181729600,0,0,0
1.181729920,0,1,0
1.181730400,0,0,0
1.181730720,0,1,0
1.181731040,0,0,0
1.181731360,0,1,0
1.181731680,0,0,0
1.181732000,0,1,0
1.181732320,1,0,1
1.181732640,1,1,1
1.181732960,0,0,1
1.181733280,0,1,1
1.181733600,1,0,0
1.181733920,1,1,0
1.181734240,1,0,0
1.181734400,0,0,0
1.181734720,0,1,0
1.181735040,0,0,0
1.181735360,0,1,0
1.181735680,0,0,1
1.181736000,0,1,1
1.181736320,1,0,0
1.181736640,1,1,0
1.181736960,0,0,0
1.181737280,0,1,0
1.181737600,1,0,1
1.181737920,1,1,1
1.181738240,1,0,1
1.181738400,0,0,1
1.181738720,0,1,1
1.181739040,0,0,0
1.181739360,0,1,0
1.182503040,0,0,0
1.182503360,0,1,0
1.182503680,0,0,0
