name	type	start_time	duration	mosi	miso
SPI [1]	result	1.44282272	0.00000512	0x00	0x00
SPI [1]	result	1.442828	0.00000512	0x00	0x00
SPI [1]	result	1.44283328	0.00000528	0x3F	0x00
SPI [1]	result	1.44283872	0.00000512	0xC6	0x00
SPI [1]	result	1.443696	0.00000512	0x08	0x08
SPI [1]	result	1.44370128	0.00000528	0x10	0x00
SPI [1]	result	1.44370672	0.00000512	0x80	0xBF
SPI [1]	result	1.443712	0.00000512	0x22	0xD8
SPI [1]	result	1.447048	0.00000512	0x00	0x00
SPI [1]	result	1.44705328	0.00000528	0x00	0x00
SPI [1]	result	1.44705872	0.00000512	0x00	0x3F
SPI [1]	result	1.447064	0.00000512	0x00	0xC6
SPI [1]	result	1.44789408	0.00000512	0x08	0x08
SPI [1]	result	1.44789936	0.00000512	0x00	0x00
SPI [1]	result	1.44790464	0.00000528	0xBF	0x80
SPI [1]	result	1.44791008	0.00000512	0xD8	0x12
SPI [1]	result	1.45044528	0.00000528	0xB8	0x00
SPI [1]	result	1.45045072	0.00000512	0x01	0x00
SPI [1]	result	1.450456	0.00000512	0x06	0x00
SPI [1]	result	1.45046128	0.00000528	0x26	0x00
SPI [1]	result	1.45124336	0.00000512	0x09	0x08
SPI [1]	result	1.45124864	0.00000528	0x10	0x00
SPI [1]	result	1.45125408	0.00000512	0x80	0x86
SPI [1]	result	1.45125936	0.00000512	0x2A	0x2A
SPI [1]	result	1.451824	0.00000512	0x00	0xB8
SPI [1]	result	1.45182928	0.00000528	0x00	0x01
SPI [1]	result	1.45183472	0.00000512	0x05	0x06
SPI [1]	result	1.45184	0.00000512	0x14	0x26
SPI [1]	result	1.45260928	0.00000528	0x0A	0x09
SPI [1]	result	1.45261472	0.00000512	0x00	0x00
SPI [1]	result	1.45262	0.00000512	0x86	0x85
SPI [1]	result	1.45262528	0.00000528	0x3A	0x2E
SPI [1]	result	1.45319728	0.00000528	0x00	0x00
SPI [1]	result	1.45320272	0.00000512	0x00	0x00
SPI [1]	result	1.453208	0.00000512	0x00	0x05
SPI [1]	result	1.45321328	0.00000528	0x00	0x14
SPI [1]	result	1.45375936	0.00000512	0x08	0x0A
SPI [1]	result	1.45376464	0.00000528	0x00	0x00
SPI [1]	result	1.45377008	0.00000512	0x85	0x80
SPI [1]	result	1.45377536	0.00000512	0x26	0x22
SPI [1]	result	1.456852	0.00000512	0xFF	0x00
SPI [1]	result	1.45685728	0.00000528	0xFF	0x00
SPI [1]	result	1.45686272	0.00000512	0x00	0x4C
SPI [1]	result	1.456868	0.00000512	0x00	0x52
SPI [1]	result	1.45687328	0.00000528	0x00	0x31
SPI [1]	result	1.45687872	0.00000512	0x00	0x30
SPI [1]	result	1.456884	0.00000512	0x00	0x37
SPI [1]	result	1.45688928	0.00000528	0x00	0x41
SPI [1]	result	1.45689472	0.00000512	0x00	0x00
SPI [1]	result	1.4569	0.00000512	0x00	0x00
SPI [1]	result	1.45690528	0.00000528	0x00	0x46
SPI [1]	result	1.45691072	0.00000512	0x00	0x53
SPI [1]	result	1.456916	0.00000512	0x00	0x53
SPI [1]	result	1.45692128	0.00000528	0x00	0x47
SPI [1]	result	1.45692672	0.00000512	0x00	0x57
SPI [1]	result	1.456932	0.00000512	0x00	0x35
SPI [1]	result	1.45693728	0.00000528	0x00	0x30
SPI [1]	result	1.45694272	0.00000512	0x00	0x37
SPI [1]	result	1.456948	0.00000512	0x00	0x47
SPI [1]	result	1.45695328	0.00000528	0x00	0x46
SPI [1]	result	1.45695872	0.00000512	0x00	0x32
SPI [1]	result	1.456964	0.00000512	0x00	0x35
SPI [1]	result	1.45696928	0.00000528	0x00	0x30
SPI [1]	result	1.45697472	0.00000512	0x00	0x6D
SPI [1]	result	1.45698	0.00000512	0x00	0x6D
SPI [1]	result	1.45698528	0.00000528	0x00	0x46
SPI [1]	result	1.45699072	0.00000512	0x00	0x34
SPI [1]	result	1.456996	0.00000512	0x00	0x20
SPI [1]	result	1.45700128	0.00000528	0x00	0x52
SPI [1]	result	1.45700672	0.00000512	0x00	0x20
SPI [1]	result	1.457012	0.00000512	0x00	0x4C
SPI [1]	result	1.45701728	0.00000528	0x00	0x4D
SPI [1]	result	1.45702272	0.00000512	0x00	0x20
SPI [1]	result	1.457028	0.00000512	0x00	0x4F
SPI [1]	result	1.45703328	0.00000528	0x00	0x49
SPI [1]	result	1.45703872	0.00000512	0x00	0x53
SPI [1]	result	1.457044	0.00000512	0x00	0x20
SPI [1]	result	1.45704928	0.00000528	0x00	0x57
SPI [1]	result	1.45705472	0.00000512	0x00	0x52
SPI [1]	result	1.45706	0.00000512	0x00	0x00
SPI [1]	result	1.45706528	0.00000528	0x00	0x00
SPI [1]	result	1.45707072	0.00000512	0x00	0x00
SPI [1]	result	1.457076	0.00000512	0x00	0x00
SPI [1]	result	1.45708128	0.00000528	0x00	0x00
SPI [1]	result	1.45708672	0.00000512	0x00	0x00
SPI [1]	result	1.457092	0.00000512	0x00	0x00
SPI [1]	result	1.45709728	0.00000528	0x00	0x00
SPI [1]	result	1.45710272	0.00000512	0x00	0x00
SPI [1]	result	1.457108	0.00000512	0x00	0x00
SPI [1]	result	1.45711328	0.00000528	0x00	0x00
SPI [1]	result	1.45711872	0.00000512	0x00	0x00
SPI [1]	result	1.457124	0.00000512	0x00	0x00
SPI [1]	result	1.45712928	0.00000528	0x00	0x00
SPI [1]	result	1.45713472	0.00000512	0x00	0x00
SPI [1]	result	1.45714	0.00000512	0x00	0x00
SPI [1]	result	1.45714528	0.00000528	0x00	0x00
SPI [1]	result	1.45715072	0.00000512	0x00	0x00
SPI [1]	result	1.457156	0.00000512	0x00	0x00
SPI [1]	result	1.45716128	0.00000528	0x00	0x00
SPI [1]	result	1.45716672	0.00000512	0x00	0x00
SPI [1]	result	1.457172	0.00000512	0x00	0x00
SPI [1]	result	1.45717728	0.00000528	0x00	0x00
SPI [1]	result	1.45718272	0.00000512	0x00	0x00
SPI [1]	result	1.457188	0.00000512	0x00	0x00
SPI [1]	result	1.45719328	0.00000528	0x00	0x00
SPI [1]	result	1.45719872	0.00000512	0x00	0x00
SPI [1]	result	1.457204	0.00000512	0x00	0x00
SPI [1]	result	1.45720928	0.00000528	0x00	0x00
SPI [1]	result	1.45721472	0.00000512	0x00	0x00
SPI [1]	result	1.45722	0.00000512	0x00	0x00
SPI [1]	result	1.45722528	0.00000528	0x00	0x00
SPI [1]	result	1.45723072	0.00000512	0x00	0x00
SPI [1]	result	1.457236	0.00000512	0x00	0x00
SPI [1]	result	1.45724128	0.00000528	0x00	0x00
SPI [1]	result	1.45724672	0.00000512	0x00	0x00
SPI [1]	result	1.457252	0.00000512	0x00	0x00
SPI [1]	result	1.45725728	0.00000528	0x00	0x00
SPI [1]	result	1.45726272	0.00000512	0x00	0x00
SPI [1]	result	1.457268	0.00000512	0x00	0x00
SPI [1]	result	1.45727328	0.00000528	0x00	0x00
SPI [1]	result	1.45727872	0.00000512	0x00	0x00
SPI [1]	result	1.457284	0.00000512	0x00	0x00
SPI [1]	result	1.45728928	0.00000528	0x00	0x32
SPI [1]	result	1.45729472	0.00000512	0x00	0x37
SPI [1]	result	1.4573	0.00000512	0x00	0x43
SPI [1]	result	1.45730528	0.00000528	0x00	0x30
SPI [1]	result	1.45731072	0.00000512	0x00	0x30
SPI [1]	result	1.457316	0.00000512	0x00	0x30
SPI [1]	result	1.45732128	0.00000528	0x00	0x37
SPI [1]	result	1.45732672	0.00000512	0x00	0x35
SPI [1]	result	1.457332	0.00000512	0x00	0x00
SPI [1]	result	1.45733728	0.00000528	0x00	0x00
SPI [1]	result	1.45734272	0.00000512	0x00	0x01
SPI [1]	result	1.457348	0.00000512	0x00	0x80
SPI [1]	result	1.45735328	0.00000528	0x00	0x01
SPI [1]	result	1.45735872	0.00000512	0x00	0x11
SPI [1]	result	1.457364	0.00000512	0x00	0x01
SPI [1]	result	1.45736928	0.00000528	0x00	0x10
SPI [1]	result	1.45737472	0.00000512	0x00	0x01
SPI [1]	result	1.45738	0.00000512	0x00	0x10
SPI [1]	result	1.45738528	0.00000528	0x00	0x01
SPI [1]	result	1.45739072	0.00000512	0x00	0x10
SPI [1]	result	1.457396	0.00000512	0x00	0xC8
SPI [1]	result	1.45740128	0.00000528	0x00	0x09
SPI [1]	result	1.45740672	0.00000512	0x00	0x00
SPI [1]	result	1.457412	0.00000512	0x00	0x00
SPI [1]	result	1.45741728	0.00000528	0x00	0x00
SPI [1]	result	1.45742272	0.00000512	0x00	0x00
SPI [1]	result	1.457428	0.00000512	0x00	0x00
SPI [1]	result	1.45743328	0.00000528	0x00	0x00
SPI [1]	result	1.45743872	0.00000512	0x00	0x00
SPI [1]	result	1.457444	0.00000512	0x00	0x00
SPI [1]	result	1.45744928	0.00000528	0x00	0x00
SPI [1]	result	1.45745472	0.00000512	0x00	0x00
SPI [1]	result	1.45746	0.00000512	0x00	0x00
SPI [1]	result	1.45746528	0.00000528	0x00	0x00
SPI [1]	result	1.45747072	0.00000512	0x00	0x00
SPI [1]	result	1.457476	0.00000512	0x00	0x00
SPI [1]	result	1.45748128	0.00000528	0x00	0x00
SPI [1]	result	1.45748672	0.00000512	0x00	0x00
SPI [1]	result	1.457492	0.00000512	0x00	0x00
SPI [1]	result	1.45749728	0.00000528	0x00	0x00
SPI [1]	result	1.45750272	0.00000512	0x00	0x00
SPI [1]	result	1.457508	0.00000512	0x00	0x00
SPI [1]	result	1.45751328	0.00000528	0x00	0x00
SPI [1]	result	1.45751872	0.00000512	0x00	0x00
SPI [1]	result	1.457524	0.00000512	0x00	0x00
SPI [1]	result	1.45752928	0.00000528	0x00	0x00
SPI [1]	result	1.45753472	0.00000512	0x00	0x00
SPI [1]	result	1.45754	0.00000512	0x00	0x00
SPI [1]	result	1.45754528	0.00000528	0x5A	0x53
SPI [1]	result	1.460668	0.00000512	0xFF	0xFF
SPI [1]	result	1.46067328	0.00000528	0x00	0xFF
SPI [1]	result	1.46067872	0.00000512	0x00	0x4C
SPI [1]	result	1.460684	0.00000512	0x00	0x52
SPI [1]	result	1.46068928	0.00000528	0x00	0x31
SPI [1]	result	1.46069472	0.00000512	0x00	0x30
SPI [1]	result	1.4607	0.00000512	0x00	0x37
SPI [1]	result	1.46070528	0.00000528	0x00	0x41
SPI [1]	result	1.46071072	0.00000512	0x00	0x00
SPI [1]	result	1.460716	0.00000512	0x00	0x00
SPI [1]	result	1.46072128	0.00000528	0x00	0x46
SPI [1]	result	1.46072672	0.00000512	0x00	0x53
SPI [1]	result	1.460732	0.00000512	0x00	0x53
SPI [1]	result	1.46073728	0.00000528	0x00	0x47
SPI [1]	result	1.46074272	0.00000512	0x00	0x57
SPI [1]	result	1.460748	0.00000512	0x00	0x35
SPI [1]	result	1.46075328	0.00000528	0x00	0x30
SPI [1]	result	1.46075872	0.00000512	0x00	0x37
SPI [1]	result	1.460764	0.00000512	0x00	0x47
SPI [1]	result	1.46076928	0.00000528	0x00	0x46
